RSC ID,Player Name,Franchise,Team,Base MMR,Current MMR,Contract Status,Contract Length,Waiver End,Tier,Captain
RSC006723,ROCK_Sause,Art Club,Pixel Picassos,1625,1625,Rostered,2,,Elite,TRUE
RSC001098,Wafe,Art Club,Pixel Picassos,1610,1610,Rostered,1,,Elite,FALSE
RSC010429,Sparky ;),Art Club,Pixel Picassos,1600,1600,Rostered,2,2026-06-03T12:00:00-04:00,Elite,FALSE
RSC005308,6 lbs of Yeet,Art Club,Pixel Picassos,1545,1545,Rostered,2,,Elite,FALSE
RSC014097,Dizz5625,Art Club,Mosaic Maestros,1525,1525,Rostered,2,,Veteran,FALSE
RSC002178,bird,Art Club,Mosaic Maestros,1515,1515,Rostered,2,2026-05-24T12:00:00-04:00,Veteran,FALSE
RSC007317,TheDarkHero77,Art Club,Mosaic Maestros,1465,1465,Rostered,1,,Veteran,FALSE
RSC000320,ryanawesome_,Art Club,Mosaic Maestros,1455,1455,Rostered,2,,Veteran,FALSE
RSC005246,Irishhhh,Art Club,Hue Heroes,1415,1415,Rostered,1,,Rival,FALSE
RSC000190,leaf.,Art Club,Hue Heroes,1375,1375,Rostered,2,,Rival,FALSE
RSC000291,Suckiest Sucker,Art Club,Hue Heroes,1360,1360,Rostered,2,,Rival,FALSE
RSC000922,D_e_r_k,Art Club,Hue Heroes,1360,1360,Rostered,2,,Rival,TRUE
RSC008184,Dray,Art Club,Chromatic Chaos,1320,1320,Rostered,2,,Challenger,FALSE
RSC012932,princedre.,Art Club,Chromatic Chaos,1310,1310,Rostered,1,,Challenger,FALSE
RSC013056,SRSExKAOS,Art Club,Chromatic Chaos,1295,1295,Rostered,1,,Challenger,FALSE
RSC008014,TweakingOut,Art Club,Chromatic Chaos,1225,1225,Rostered,1,,Challenger,TRUE
RSC003387,Redline,Art Club,Prism Proteges,1175,1175,Rostered,2,2026-05-31T12:00:00-04:00,Prospect,FALSE
RSC007505,Detroeux,Art Club,Prism Proteges,1115,1115,Rostered,2,,Prospect,FALSE
RSC008031,timthebigone,Art Club,Prism Proteges,1105,1105,Rostered,1,,Prospect,TRUE
RSC006232,bestpickle,Art Club,Gallery Guild,1095,1095,Rostered,2,,Contender,FALSE
RSC007874,Salty Num Num,Art Club,Gallery Guild,1085,1085,Rostered,2,2026-06-17T12:00:00-04:00,Contender,FALSE
RSC014051,gunz,Art Club,Gallery Guild,990,990,Rostered,2,,Contender,FALSE
RSC013210,Spare4dagreen,Art Club,Gallery Guild,945,945,Rostered,2,,Contender,TRUE
RSC011177,LMN.,Buggin Out,Black Widows,1650,1650,Rostered,2,2026-05-24T12:00:00-04:00,Elite,FALSE
RSC006395,Gizmo,Buggin Out,Black Widows,1600,1600,Rostered,2,,Elite,TRUE
RSC008479,Yaki,Buggin Out,Black Widows,1570,1570,Rostered,1,,Elite,FALSE
RSC005959,Yurrbo?,Buggin Out,Black Widows,1565,1565,Rostered,2,,Elite,FALSE
RSC012888,Chillin,Buggin Out,Luna Moths,1535,1535,Rostered,2,2026-06-14T12:00:00-04:00,Veteran,FALSE
RSC002271,Based Fame,Buggin Out,Luna Moths,1520,1520,Rostered,2,,Veteran,FALSE
RSC013356,wumie,Buggin Out,Luna Moths,1455,1455,Rostered,2,,Veteran,FALSE
RSC013987,MrToastyy99,Buggin Out,Luna Moths,1455,1455,Rostered,2,,Veteran,FALSE
RSC008531,drkmist,Buggin Out,Centipedes,1440,1440,Rostered,1,,Rival,TRUE
RSC014195,waffles,Buggin Out,Centipedes,1405,1405,Rostered,2,,Rival,TRUE
RSC013917,Jaded,Buggin Out,Centipedes,1330,1355,Rostered,2,,Rival,FALSE
RSC012832,22,Buggin Out,Centipedes,1340,1340,Rostered,2,,Rival,FALSE
RSC005526,Vortex3524,Buggin Out,Scarabs,1325,1325,Rostered,2,,Challenger,FALSE
RSC002809,bubles,Buggin Out,Scarabs,1295,1295,Rostered,2,2026-06-24T12:00:00-04:00,Challenger,FALSE
