Tier,RSC ID,Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,Caboose,Amplitude,Studio City,Solar,N/A,76.56,38,0.605,23,15,12,11565,7680,3885,32,23,48,93,0.344,304.34,0.84,0.58,1.26,2.45
Challenger,,Ciceron,Amplitude,Studio City,Solar,N/A,42.75,34,0.5,17,17,3,7590,4510,3080,20,12,25,66,0.292,223.24,0.56,0.32,0.74,1.91
Challenger,,mcgroom,Amplitude,Studio City,Solar,N/A,74.28,52,0.596,31,21,14,15870,10490,5380,45,27,69,119,0.378,305.19,0.87,0.52,1.31,2.29
Challenger,,polarpandah,Amplitude,Studio City,Solar,N/A,52.37,36,0.639,23,13,3,8296,5130,3166,21,18,30,63,0.318,230.42,0.56,0.50,0.81,1.75
Challenger,RSC000035,Feen,Barbarians,The Sovereign,Lunar,N/A,61.83,40,0.575,23,17,6,10555,6850,3705,27,20,46,85,0.318,263.88,0.68,0.50,1.15,2.13
Challenger,,The Static,Barbarians,The Sovereign,Lunar,N/A,54.58,18,0.556,10,8,0,4365,2880,1485,8,11,24,33,0.212,242.50,0.39,0.61,1.33,1.83
Challenger,RSC000025,slayerof666,Barbarians,The Sovereign,Lunar,N/A,70.71,38,0.711,27,11,5,10146,6690,3456,33,20,30,89,0.371,266.97,0.87,0.53,0.79,2.34
Challenger,RSC000430,tterb86,Barbarians,The Sovereign,Lunar,N/A,86.5,48,0.625,30,18,19,15591,10300,5291,56,29,39,130,0.423,324.79,1.15,0.60,0.81,2.71
Challenger,,Grumpy_Mittens,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,23.21,29,0.414,12,17,1,5015,2660,2355,7,9,21,46,0.155,172.93,0.24,0.28,0.72,1.55
Challenger,,Sir Bacon,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,45.6,41,0.537,22,19,7,9646,5870,3776,19,18,49,62,0.306,235.24,0.46,0.42,1.17,1.51
Challenger,,XxXGu5XxX,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,54.39,41,0.512,21,20,7,10391,6630,3761,34,8,34,113,0.303,253.42,0.83,0.17,0.83,2.73
Challenger,RSC000104,tubzy,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,61.55,44,0.523,23,21,11,11721,7500,4221,38,17,35,110,0.336,266.36,0.84,0.39,0.80,2.50
Challenger,,DOUBELEVEINMAGIC,Derechos,The Storm,Solar,N/A,51.74,21,0.381,8,13,2,5155,3420,1735,15,12,18,42,0.334,245.48,0.67,0.52,0.81,2.00
Challenger,RSC000524,Low Gravitas,Derechos,The Storm,Solar,N/A,47.96,37,0.459,17,20,6,8560,5530,3030,25,15,31,73,0.334,231.35,0.65,0.41,0.81,1.95
Challenger,,Zacer75,Derechos,The Storm,Solar,N/A,46.27,48,0.5,24,24,4,11421,7370,4051,27,17,60,82,0.317,237.92,0.54,0.35,1.25,1.71
Challenger,RSC000387,adammast,Derechos,The Storm,Solar,N/A,68.83,49,0.469,23,26,14,15115,9780,5335,49,23,54,103,0.466,308.47,0.98,0.45,1.10,2.10
Challenger,,AcesKingsQueensJacksTens,FA,Free Agent,N/A,N/A,100.35,19,0.632,12,7,7,6826,4890,1936,26,12,21,64,0.391,359.21,1.32,0.58,1.11,3.37
Challenger,,Aust106,FA,Free Agent,N/A,N/A,39.56,16,0.312,5,11,1,3610,2450,1160,14,4,12,25,0.560,225.63,0.88,0.25,0.69,1.56
Challenger,,DatStew Shamwow,FA,Free Agent,N/A,N/A,-24.25,2,0,0,2,0,120,20,100,0,0,0,2,0.000,60.00,0.00,0.00,0.00,1.00
Challenger,RSC000871,FoxHound3g,FA,Free Agent,N/A,N/A,46.56,11,0.364,4,7,1,2585,1810,775,8,5,11,21,0.381,235.00,0.73,0.36,1.00,1.91
Challenger,RSC000478,HardeyOG,FA,Free Agent,N/A,N/A,15.87,5,0.2,1,4,0,785,460,325,1,2,4,6,0.167,157.00,0.20,0.40,0.80,1.20
Challenger,,Kyomae,FA,Free Agent,N/A,N/A,74.47,8,0.5,4,4,2,2520,1620,900,11,2,4,22,0.500,315.00,1.38,0.25,0.50,2.75
Challenger,,Taken,FA,Free Agent,N/A,N/A,16.63,12,0.333,4,8,0,1866,1070,796,3,4,9,12,0.250,155.42,0.25,0.33,0.75,1.00
Challenger,RSC000753,prolly,FA,Free Agent,N/A,N/A,59.47,14,0.357,5,9,3,4235,2950,1285,17,1,17,35,0.471,302.50,1.14,0.07,1.21,2.43
Challenger,,rp xd,FA,Free Agent,N/A,N/A,5.12,4,0.25,1,3,0,565,270,295,1,1,2,2,0.500,141.25,0.25,0.25,0.50,0.50
Challenger,,underworldbros,FA,Free Agent,N/A,N/A,66.23,20,0.5,10,10,4,5635,3360,2275,14,15,17,36,0.389,281.75,0.70,0.75,0.85,1.80
Challenger,,xtratos,FA,Free Agent,N/A,N/A,58.97,3,1,3,0,2,730,490,240,0,3,6,4,0.000,243.33,0.00,0.67,1.67,1.33
Challenger,,Dallque,Hellions,πολύ κεφάλη,Lunar,N/A,34.92,28,0.357,10,18,4,5775,3850,1925,16,12,26,35,0.457,206.25,0.57,0.39,0.89,1.25
Challenger,,Taze,Hellions,πολύ κεφάλη,Lunar,N/A,37.81,48,0.375,18,30,3,9695,5920,3775,22,22,35,87,0.256,201.98,0.46,0.46,0.73,1.79
Challenger,,jjanh,Hellions,πολύ κεφάλη,Lunar,N/A,53.9,45,0.4,18,27,11,11675,7330,4345,32,18,44,103,0.314,259.44,0.71,0.40,0.96,2.27
Challenger,,,Hellions,πολύ κεφάλη,Lunar,N/A,17.19,18,0.167,3,15,1,3341,2220,1121,8,4,20,22,0.318,185.56,0.39,0.17,1.11,1.22
Challenger,,,Hellions,πολύ κεφάλη,Lunar,N/A,17.19,18,0.167,3,15,1,3341,2220,1121,8,4,20,22,0.318,185.56,0.39,0.17,1.11,1.22
Challenger,,,Hellions,πολύ κεφάλη,Lunar,N/A,17.19,18,0.167,3,15,1,3341,2220,1121,8,4,20,22,0.318,185.56,0.39,0.17,1.11,1.22
Challenger,RSC000097,Dravaco,Jaguars,Apex Predators,Solar,N/A,29.55,23,0.348,8,15,1,4971,2770,2201,7,7,28,32,0.226,216.09,0.30,0.30,1.17,1.35
Challenger,,Takazumi,Jaguars,Apex Predators,Solar,N/A,59.41,42,0.452,19,23,12,11490,7140,4350,26,21,51,94,0.277,273.57,0.62,0.50,1.21,2.24
Challenger,,WrathofMcGrath,Jaguars,Apex Predators,Solar,N/A,39.13,31,0.484,15,16,2,6751,4290,2461,20,8,29,44,0.455,217.74,0.65,0.26,0.94,1.42
Challenger,,returnofsmalls,Jaguars,Apex Predators,Solar,N/A,67.42,26,0.5,13,13,6,7930,5170,2760,22,11,37,57,0.393,305.00,0.85,0.42,1.39,2.15
Challenger,,Juanma2060,Killer Bees,The Swarm,Solar,N/A,54.45,25,0.56,14,11,4,6410,4260,2150,16,9,35,46,0.348,256.40,0.64,0.36,1.40,1.84
Challenger,RSC000251,PadmesDefense,Killer Bees,The Swarm,Solar,N/A,45.48,48,0.542,26,22,3,11220,6630,4590,26,18,47,78,0.321,233.75,0.52,0.38,0.98,1.63
Challenger,,krum_kyle,Killer Bees,The Swarm,Solar,N/A,49.59,50,0.5,25,25,8,11905,7360,4545,39,17,33,96,0.406,238.10,0.78,0.34,0.66,1.92
Challenger,,topsub,Killer Bees,The Swarm,Solar,N/A,57.44,44,0.523,23,21,14,11865,7460,4405,32,18,50,86,0.365,269.66,0.71,0.41,1.14,1.93
Challenger,,Fuzzball,Malice,The Soundtrack,Lunar,N/A,40.61,26,0.462,12,14,2,4910,3430,1480,16,13,14,48,0.313,188.85,0.58,0.46,0.54,1.85
Challenger,,Luuugia,Malice,The Soundtrack,Lunar,N/A,49.61,19,0.474,9,10,4,4315,3180,1135,13,7,21,48,0.255,227.11,0.63,0.32,1.05,2.47
Challenger,,Y4ZT,Malice,The Soundtrack,Lunar,N/A,46.93,15,0.6,9,6,1,3155,2030,1125,8,8,12,23,0.363,210.33,0.53,0.53,0.80,1.47
Challenger,RSC000708,ledbone,Malice,The Soundtrack,Lunar,N/A,58.78,22,0.364,8,14,3,6515,4000,2515,18,11,25,40,0.461,296.14,0.82,0.46,1.09,1.77
Challenger,,tserrof_MISCHIEF,Malice,The Soundtrack,Lunar,N/A,80.71,34,0.618,21,13,10,10800,6750,4050,37,15,25,105,0.346,317.65,1.06,0.44,0.74,3.06
Challenger,,Rollin Dawg,Owls,Birds of Prey,Lunar,N/A,82.58,37,0.595,22,15,11,12426,8190,4236,45,15,40,94,0.484,335.81,1.22,0.41,1.08,2.51
Challenger,,Spoilt,Owls,Birds of Prey,Lunar,N/A,56.68,37,0.649,24,13,1,9155,5920,3235,28,18,33,57,0.482,247.43,0.73,0.49,0.87,1.51
Challenger,,chickenbox390,Owls,Birds of Prey,Lunar,N/A,72.94,45,0.644,29,16,13,12970,8250,4720,32,32,50,95,0.337,288.22,0.71,0.69,1.09,2.11
Challenger,,nunstoppable,Owls,Birds of Prey,Lunar,N/A,61.17,42,0.571,24,18,7,10720,6920,3800,35,19,30,97,0.364,255.24,0.83,0.45,0.71,2.29
