Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div.,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,Digital Spoon,Barbarians,The Sovereign,Lunar,N/A,25.49,31,0.484,15,16,1,6804,3490,3314,15,12,16,59,0.242,219.45,0.45,0.39,0.48,1.87
Challenger,RSC000038,Varenine,Barbarians,The Sovereign,Lunar,N/A,47.49,49,0.571,28,21,8,13684,7410,6274,33,23,37,111,0.297,279.27,0.67,0.45,0.74,2.27
Challenger,RSC000059,crltn,Barbarians,The Sovereign,Lunar,N/A,58.98,60,0.5,30,30,12,19862,10600,9262,53,23,53,150,0.353,331.03,0.88,0.38,0.88,2.50
Challenger,RSC000004,rondo,Barbarians,The Sovereign,Lunar,N/A,60.99,64,0.547,35,29,15,21311,11740,9571,45,34,80,154,0.286,332.97,0.69,0.52,1.25,2.41
Challenger,RSC000292,Ignite,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,32.33,53,0.528,28,25,5,13475,6720,6755,27,19,42,97,0.268,254.25,0.49,0.34,0.77,1.83
Challenger,,Insanity,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,55.1,59,0.593,35,24,11,18403,10340,8063,42,29,69,124,0.333,311.92,0.70,0.48,1.15,2.09
Challenger,,Tyty0804 | Bean King,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,53.72,38,0.579,22,16,10,12060,6360,5700,28,16,38,86,0.318,317.37,0.71,0.40,0.97,2.24
Challenger,,XxXGu5XxX,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,47.66,39,0.487,19,20,9,12176,6630,5546,30,10,46,83,0.366,312.21,0.77,0.23,1.15,2.10
Challenger,,DotDope,Bulldogs,Dog Pound,Solar,N/A,80.84,62,0.5,31,31,21,22878,13290,9588,54,55,69,169,0.316,368.98,0.86,0.89,1.10,2.71
Challenger,,Shadow_Blade_432,Bulldogs,Dog Pound,Solar,N/A,39.74,30,0.333,10,20,1,8376,4880,3496,24,10,28,58,0.397,279.20,0.77,0.33,0.93,1.93
Challenger,RSC000825,fyb goldfish,Bulldogs,Dog Pound,Solar,N/A,53.42,46,0.522,24,22,5,14342,7720,6622,29,25,51,102,0.287,311.76,0.63,0.52,1.09,2.20
Challenger,,phobia,Bulldogs,Dog Pound,Solar,N/A,65.63,39,0.538,21,18,4,12482,7610,4872,39,25,32,86,0.454,320.05,1.00,0.64,0.80,2.21
Challenger,,FireStorm,Compost Bins,Waste Management,Solar,N/A,40.03,50,0.52,26,24,2,13396,7420,5976,29,18,52,102,0.284,267.92,0.58,0.36,1.04,2.04
Challenger,,Sir viks,Compost Bins,Waste Management,Solar,N/A,62.2,56,0.679,38,18,16,18609,10070,8539,41,30,65,122,0.339,332.29,0.73,0.52,1.14,2.16
Challenger,RSC000275,timotheum,Compost Bins,Waste Management,Solar,N/A,32.55,34,0.5,17,17,5,8308,4560,3748,20,10,27,71,0.271,244.32,0.56,0.29,0.79,2.06
Challenger,RSC000365,trspriggs,Compost Bins,Waste Management,Solar,N/A,63.72,61,0.557,34,27,17,20573,11750,8823,57,26,66,145,0.396,337.25,0.93,0.43,1.07,2.36
Challenger,RSC000575,ChancellorToph,Cougars,Apex Predators,Solar,N/A,70.76,42,0.571,24,18,11,14127,8700,5427,41,23,46,115,0.356,336.36,0.98,0.52,1.10,2.74
Challenger,RSC000085,Gat0rbait,Cougars,Apex Predators,Solar,N/A,54.51,52,0.615,32,20,7,15242,8940,6302,39,31,49,104,0.366,293.12,0.73,0.58,0.94,2.00
Challenger,,ItsJustFruity,Cougars,Apex Predators,Solar,N/A,58.04,64,0.406,26,38,11,20418,11380,9038,56,36,50,148,0.378,319.02,0.88,0.56,0.77,2.31
Challenger,RSC000712,Laprius,Cougars,Apex Predators,Solar,N/A,61.45,46,0.391,18,28,10,16399,9320,7079,45,15,61,102,0.445,356.50,0.98,0.33,1.33,2.20
Challenger,,Connor,Derechos,The Storm,Solar,N/A,102.2,32,0.656,21,11,12,13457,8670,4787,52,20,31,92,0.560,420.53,1.59,0.63,0.94,2.84
Challenger,RSC000524,Low Gravitas,Derechos,The Storm,Solar,N/A,35.73,50,0.52,26,24,2,12636,6870,5766,24,25,48,82,0.293,252.72,0.48,0.50,0.96,1.64
Challenger,RSC000387,adammast,Derechos,The Storm,Solar,N/A,67.23,46,0.457,21,25,8,14950,8940,6010,40,33,41,124,0.317,325.00,0.85,0.72,0.89,2.67
Challenger,,echofiend,Derechos,The Storm,Solar,N/A,63.95,49,0.51,25,24,9,15911,9860,6051,47,30,52,106,0.434,324.71,0.94,0.59,1.06,2.16
Challenger,RSC000578,Clvr_Brz,FA,Free Agent,N/A,N/A,5.14,1,0,0,1,0,221,80,141,0,0,1,3,0.000,221.00,0.00,0.00,1.00,3.00
