Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC003073,Perkls,Imperial Walkers,The Empire,Solar,84.0,660,45,0.723,0.689,31,14,19748,12460,7288,66,24,63,151,43.7%,424.5,267.8,156.7,1.42,0.52,1.35,3.25,438.8,276.9,162.0,1.47,0.53,1.4,3.36,158,87,3.4,1.87,3.51,1.93
Prospect,RSC002360,Dicksocks,Air Buds,Puppy Paradise,Solar,83.0,780,51,0.621,0.588,30,21,21609,12710,8899,66,40,46,181,36.5%,393.1,231.2,161.9,1.2,0.73,0.84,3.29,423.7,249.2,174.5,1.29,0.78,0.9,3.55,162,119,2.95,2.16,3.18,2.33
Prospect,,Mario_Rl,Smooth Mint,Minty Fresh,Solar,78.4,560,38,0.545,0.553,21,17,16036,9780,6256,57,15,39,138,41.3%,406.3,247.8,158.5,1.44,0.38,0.99,3.5,422.0,257.4,164.6,1.5,0.39,1.03,3.63,102,91,2.58,2.31,2.68,2.39
Prospect,RSC002753,Jibletsmasher,Blacktips,Shark Attack,Lunar,77.3,744,52,0.696,0.808,42,10,19438,11020,8418,51,44,43,157,32.5%,370.7,210.1,160.5,0.97,0.84,0.82,2.99,373.8,211.9,161.9,0.98,0.85,0.83,3.02,171,102,3.26,1.95,3.29,1.96
Prospect,,Aer0 | Bizzy,Firecrackers,Fallout Shelter,Solar,77.0,666,49,0.557,0.51,25,24,18831,10500,8331,46,33,61,120,38.3%,401.2,223.7,177.5,0.98,0.7,1.3,2.56,384.3,214.3,170.0,0.94,0.67,1.24,2.45,118,102,2.51,2.17,2.41,2.08
Prospect,,React,Okapis,The Jungle,Solar,76.8,57,4,0.623,1.0,4,0,1760,1090,670,6,2,6,9,66.7%,438.1,271.3,166.8,1.49,0.5,1.49,2.24,440.0,272.5,167.5,1.5,0.5,1.5,2.25,16,12,3.98,2.99,4.0,3.0
Prospect,RSC003421,Washeduplaxbro,Imperial Walkers,The Empire,Solar,73.3,741,52,0.688,0.692,36,16,19252,10970,8282,51,41,47,147,34.7%,368.6,210.0,158.6,0.98,0.79,0.9,2.81,370.2,211.0,159.3,0.98,0.79,0.9,2.83,163,99,3.12,1.9,3.13,1.9
Prospect,,Gcol14,OO AAs,Planet of the Apes,Lunar,72.9,807,56,0.521,0.482,27,29,22721,13470,9251,56,28,97,162,34.6%,399.5,236.8,162.6,0.98,0.49,1.71,2.85,405.7,240.5,165.2,1.0,0.5,1.73,2.89,136,129,2.39,2.27,2.43,2.3
Prospect,,Onwardflame,Titanoboas,The Serpents,Lunar,72.6,768,55,0.608,0.618,34,21,20476,12410,8066,62,36,57,156,39.7%,378.3,229.3,149.0,1.15,0.67,1.05,2.88,372.3,225.6,146.7,1.13,0.65,1.04,2.84,152,115,2.81,2.12,2.76,2.09
Prospect,,Yellowboyplayz9,Earth,The Elements,Lunar,72.4,741,45,0.616,0.622,28,17,18552,10940,7612,52,31,46,189,27.5%,355.2,209.5,145.7,1.0,0.59,0.88,3.62,412.3,243.1,169.2,1.16,0.69,1.02,4.2,136,100,2.6,1.91,3.02,2.22
