Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC004107,Flyfyre-_-,Dragonflies,The Swarm,Solar,104.6,336.0,28.0,0.706,0.821,23.0,5.0,10891.0,6580.0,4311.0,37.0,17.0,23.0,88.0,42.00%,443.0,267.6,175.3,1.5,0.69,0.94,3.58,389.0,235.0,154.0,1.32,0.61,0.82,3.14,84.0,49.0,3.42,1.99,3.0,1.75
Prospect,RSC003895,Gga Astro,Earth,The Elements,Lunar,103.8,557.0,40.0,0.717,0.775,31.0,9.0,18176.0,10800.0,7376.0,60.0,26.0,41.0,145.0,41.40%,446.0,265.0,181.0,1.47,0.64,1.01,3.56,454.4,270.0,184.4,1.5,0.65,1.03,3.63,119.0,65.0,2.92,1.59,2.98,1.63
Prospect,RSC004089,Yomoisty,Firecrackers,Fallout Shelter,Solar,91.1,683.0,54.0,0.497,0.574,31.0,23.0,21095.0,11600.0,9495.0,55.0,29.0,62.0,155.0,35.50%,422.1,232.1,190.0,1.1,0.58,1.24,3.1,390.6,214.8,175.8,1.02,0.54,1.15,2.87,113.0,114.0,2.26,2.28,2.09,2.11
Prospect,RSC004406,Blurryface,Oganesson,Group Zero,Solar,85.3,670.0,48.0,0.683,0.667,32.0,16.0,19231.0,11870.0,7361.0,65.0,33.0,43.0,157.0,41.40%,392.3,242.1,150.1,1.33,0.67,0.88,3.2,400.6,247.3,153.4,1.35,0.69,0.9,3.27,148.0,91.0,3.02,1.86,3.08,1.9
Prospect,RSC000685,Daturquoisorang,Drizzle,Storm,Solar,79.4,670.0,48.0,0.679,0.688,33.0,15.0,18641.0,10970.0,7671.0,56.0,32.0,46.0,147.0,38.10%,380.2,223.8,156.5,1.14,0.65,0.94,3.0,388.4,228.5,159.8,1.17,0.67,0.96,3.06,145.0,90.0,2.96,1.84,3.02,1.88
Prospect,RSC004428,Toronto Pierson International,Spaghetti Scouts,Italian Battalion,Solar,79.2,691.0,52.0,0.584,0.5,26.0,26.0,20644.0,11730.0,8914.0,60.0,26.0,63.0,128.0,46.90%,408.3,232.0,176.3,1.19,0.51,1.25,2.53,397.0,225.6,171.4,1.15,0.5,1.21,2.46,133.0,107.0,2.63,2.12,2.56,2.06
Prospect,RSC004324,Notkyto,Titanoboas,The Serpents,Lunar,78.3,775.0,56.0,0.551,0.554,31.0,25.0,21038.0,12030.0,9008.0,51.0,35.0,67.0,183.0,27.90%,371.0,212.1,158.8,0.9,0.62,1.18,3.23,375.7,214.8,160.9,0.91,0.63,1.2,3.27,137.0,120.0,2.42,2.12,2.45,2.14
Prospect,RSC003207,Lordhadron,House Salads,Fifty-Fifty Pizzeria,Lunar,76.5,645.0,46.0,0.559,0.565,26.0,20.0,17800.0,10540.0,7260.0,51.0,30.0,52.0,134.0,38.10%,377.1,223.3,153.8,1.08,0.64,1.1,2.84,387.0,229.1,157.8,1.11,0.65,1.13,2.91,120.0,103.0,2.54,2.18,2.61,2.24
Prospect,RSC002511,Moist_Games,Spaghetti Scouts,Italian Battalion,Solar,75.5,401.0,31.0,0.664,0.581,18.0,13.0,10876.0,6600.0,4276.0,34.0,21.0,27.0,80.0,42.50%,370.7,224.9,145.7,1.16,0.72,0.92,2.73,350.8,212.9,137.9,1.1,0.68,0.87,2.58,85.0,55.0,2.9,1.87,2.74,1.77
Prospect,RSC004407,Rootbear,Legends of Tomorrow,The Comic Crusaders,Lunar,75.0,625.0,47.0,0.577,0.617,29.0,18.0,17687.0,9920.0,7767.0,38.0,31.0,71.0,102.0,37.30%,386.7,216.9,169.8,0.83,0.68,1.55,2.23,376.3,211.1,165.3,0.81,0.66,1.51,2.17,108.0,88.0,2.36,1.92,2.3,1.87
Prospect,RSC003908,Veoloux,Puffins,Polar Vortex,Lunar,73.7,738.0,48.0,0.603,0.625,30.0,18.0,19656.0,11800.0,7856.0,56.0,34.0,58.0,160.0,35.00%,364.0,218.5,145.5,1.04,0.63,1.07,2.96,409.5,245.8,163.7,1.17,0.71,1.21,3.33,144.0,110.0,2.67,2.04,3.0,2.29
Prospect,RSC003209,Doce,Red Stags,The Forest,Solar,72.8,326.0,24.0,0.455,0.542,13.0,11.0,8745.0,5150.0,3595.0,23.0,19.0,27.0,55.0,41.80%,366.6,215.9,150.7,0.96,0.8,1.13,2.31,364.4,214.6,149.8,0.96,0.79,1.13,2.29,58.0,65.0,2.43,2.72,2.42,2.71
Prospect,RSC004413,Mr. Nuke,Blacktips,Shark Attack,Lunar,72.2,594.0,43.0,0.698,0.744,32.0,11.0,16620.0,9570.0,7050.0,49.0,21.0,49.0,117.0,41.90%,382.4,220.2,162.2,1.13,0.48,1.13,2.69,386.5,222.6,164.0,1.14,0.49,1.14,2.72,127.0,74.0,2.92,1.7,2.95,1.72
Prospect,RSC003900,Tryhard Goblin,Earth,The Elements,Lunar,72.1,634.0,43.0,0.706,0.767,33.0,10.0,16403.0,9400.0,7003.0,35.0,37.0,57.0,120.0,29.20%,353.6,202.6,151.0,0.75,0.8,1.23,2.59,381.5,218.6,162.9,0.81,0.86,1.33,2.79,134.0,76.0,2.89,1.64,3.12,1.77
Prospect,RSC003229,Boeso,Okapis,The Jungle,Solar,70.6,728.0,55.0,0.605,0.564,31.0,24.0,19373.0,10640.0,8733.0,47.0,34.0,57.0,139.0,33.80%,363.7,199.7,163.9,0.88,0.64,1.07,2.61,352.2,193.5,158.8,0.85,0.62,1.04,2.53,137.0,104.0,2.57,1.95,2.49,1.89
Prospect,RSC002756,Blueice16_,Drizzle,Storm,Solar,67.8,638.0,45.0,0.683,0.689,31.0,14.0,16239.0,9440.0,6799.0,40.0,34.0,51.0,119.0,33.60%,347.8,202.2,145.6,0.86,0.73,1.09,2.55,360.9,209.8,151.1,0.89,0.76,1.13,2.64,133.0,81.0,2.85,1.74,2.96,1.8
Prospect,RSC004421,Rettirt,Barbarians,The Sovereign,Lunar,67.1,562.0,37.0,0.45,0.432,16.0,21.0,13964.0,7890.0,6074.0,26.0,34.0,52.0,99.0,26.30%,339.6,191.9,147.7,0.63,0.83,1.26,2.41,377.4,213.2,164.2,0.7,0.92,1.41,2.68,87.0,99.0,2.12,2.41,2.35,2.68
Prospect,RSC003201,Ashuraxgaming,Spearmint,Minty Fresh,Solar,67.1,716.0,55.0,0.478,0.455,25.0,30.0,19739.0,11380.0,8359.0,48.0,28.0,81.0,113.0,42.50%,376.8,217.2,159.5,0.92,0.53,1.55,2.16,358.9,206.9,152.0,0.87,0.51,1.47,2.05,117.0,124.0,2.23,2.37,2.13,2.25
Prospect,RSC003747,Tr33F0Rt,Koala Bears,The Bear Den,Lunar,66.7,549.0,40.0,0.541,0.575,23.0,17.0,14413.0,8930.0,5483.0,49.0,15.0,40.0,128.0,38.30%,358.8,222.3,136.5,1.22,0.37,1.0,3.19,360.3,223.3,137.1,1.23,0.38,1.0,3.2,101.0,91.0,2.51,2.27,2.53,2.28
Prospect,RSC002345,Biddldiddlwiddl,Barbarians,The Sovereign,Lunar,66.4,106.0,8.0,0.552,0.625,5.0,3.0,2903.0,1670.0,1233.0,6.0,4.0,14.0,17.0,35.30%,374.3,215.3,159.0,0.77,0.52,1.8,2.19,362.9,208.8,154.1,0.75,0.5,1.75,2.13,15.0,13.0,1.93,1.68,1.88,1.63
