,,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Burgoid,Veteran,King Ghidorah,Kaiju,Solar,125.9,81,4,0.764,0.750,3,1,2831,1880,951,12,2,7,23,52.2%,531.0,352.6,178.4,2.25,0.38,1.31,4.31,707.8,470.0,237.8,3.00,0.50,1.75,5.75,17,8,3.19,1.50,4.25,2.00
,,,Chuckles,Veteran,Blue Angels,Warbirds,Lunar,94.7,807,54,0.628,0.611,33,21,22680,13490,9190,55,55,74,154,35.7%,427.0,254.0,173.0,1.04,1.04,1.39,2.90,420.0,249.8,170.2,1.02,1.02,1.37,2.85,152,109,2.86,2.05,2.81,2.02
,,,Kourses,Veteran,Anger,Inferno,Solar,90.5,487,33,0.705,0.727,24,9,14226,8280,5946,45,17,37,108,41.7%,443.8,258.3,185.5,1.40,0.53,1.15,3.37,431.1,250.9,180.2,1.36,0.52,1.12,3.27,105,61,3.28,1.90,3.18,1.85
,,,Adeadm0053,Veteran,Arctic Wolves,Sub Zero,Solar,89.2,910,62,0.552,0.565,35,27,26253,14860,11393,59,39,103,186,31.7%,438.3,248.1,190.2,0.98,0.65,1.72,3.11,423.4,239.7,183.8,0.95,0.63,1.66,3.00,142,124,2.37,2.07,2.29,2.00
,,,Capital,Veteran,Fantastic Four,The Comic Crusaders,Lunar,81.4,956,63,0.583,0.635,40,23,25965,15760,10205,69,44,95,191,36.1%,412.6,250.4,162.2,1.10,0.70,1.51,3.04,412.1,250.2,162.0,1.10,0.70,1.51,3.03,166,134,2.64,2.13,2.63,2.13
,,,Icye,Veteran,"Lightning
King Ghidorah","Electric Mayhem
Kaiju",Lunar,79.3,683,44,0.570,0.614,27,17,18372,10890,7482,57,25,49,149,38.3%,408.6,242.2,166.4,1.27,0.56,1.09,3.31,417.5,247.5,170.0,1.30,0.57,1.11,3.39,114,95,2.54,2.11,2.59,2.16
,,,Kouki,Veteran,Anger,Inferno,Solar,78.3,870,57,0.556,0.596,34,23,22518,13660,8858,47,49,97,166,28.3%,393.2,238.5,154.7,0.82,0.86,1.69,2.90,395.1,239.6,155.4,0.82,0.86,1.70,2.91,152,132,2.65,2.30,2.67,2.32
,,,Flossy,Veteran,Cobras,The Serpents,Lunar,74.9,919,61,0.674,0.656,40,21,23128,14120,9008,68,41,65,202,33.7%,382.3,233.4,148.9,1.12,0.68,1.07,3.34,379.1,231.5,147.7,1.11,0.67,1.07,3.31,185,117,3.06,1.93,3.03,1.92
,,,Weluvyouzion,Veteran,Taurus,The N Ξ X U S,Solar,74.9,137,10,0.447,0.500,5,5,3672,2050,1622,7,8,15,20,35.0%,407.2,227.3,179.9,0.78,0.89,1.66,2.22,367.2,205.0,162.2,0.70,0.80,1.50,2.00,21,24,2.33,2.66,2.10,2.40
,,,Ty (Arcus),Veteran,Makos,Shark Attack,Lunar,74.8,930,64,0.611,0.578,37,27,23878,13680,10198,61,41,72,193,31.6%,390.1,223.5,166.6,1.00,0.67,1.18,3.15,373.1,213.8,159.3,0.95,0.64,1.13,3.02,162,121,2.65,1.98,2.53,1.89
,,,Keylesscreature,Veteran,Seadevils,The Abyss,Lunar,71.5,736,49,0.607,0.612,30,19,18520,10690,7830,44,37,61,139,31.7%,382.3,220.7,161.6,0.91,0.76,1.26,2.87,378.0,218.2,159.8,0.90,0.76,1.24,2.84,138,105,2.85,2.17,2.82,2.14
