Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Amateur,RSC004190,Demonikgoat4061,Aloof Goofs,Vibe Tribe,N/A,N/A,39.61,35,0.486,17,18,4,8943,5240,3703,25,12,30,64,0.391,255.51,0.71,0.34,0.86,1.83
Amateur,RSC007333,Dracula__OG,Aloof Goofs,Vibe Tribe,N/A,N/A,41.09,33,0.485,16,17,5,8351,4780,3571,20,14,28,68,0.294,253.06,0.61,0.42,0.85,2.06
Amateur,RSC007161,MrAnderpants,Aloof Goofs,Vibe Tribe,N/A,N/A,51.25,49,0.469,23,26,9,14775,7960,6815,31,27,48,111,0.279,301.53,0.63,0.55,0.98,2.27
Amateur,RSC006375,Rich-Rollin6060,Aloof Goofs,Vibe Tribe,N/A,N/A,54.41,48,0.521,25,23,9,14642,8450,6192,45,20,37,110,0.409,305.04,0.94,0.42,0.77,2.29
Amateur,RSC005925,Emily26210,Amaranth,Flower Road,N/A,N/A,36.76,35,0.429,15,20,6,9079,5210,3869,23,12,35,56,0.411,259.40,0.66,0.34,1.00,1.60
Amateur,RSC006797,Manimal0731,Amaranth,Flower Road,N/A,N/A,47.95,39,0.410,16,23,6,11755,6730,5025,35,13,35,83,0.422,301.41,0.90,0.33,0.90,2.13
Amateur,RSC007241,NOTaTHinG420,Amaranth,Flower Road,N/A,N/A,35.06,31,0.387,12,19,1,7777,4260,3517,22,8,21,61,0.361,250.84,0.71,0.26,0.68,1.97
Amateur,RSC007018,vBoostedv,Amaranth,Flower Road,N/A,N/A,54.04,50,0.400,20,30,6,15957,8760,7197,41,26,44,116,0.353,319.14,0.82,0.52,0.88,2.32
Amateur,RSC006256,Casca757,Astro Amber Ales,5 O'clock Nowhere,N/A,N/A,42.35,48,0.625,30,18,5,12197,6490,5707,31,19,31,89,0.348,254.10,0.65,0.40,0.65,1.85
Amateur,RSC007119,Mos11bravo,Astro Amber Ales,5 O'clock Nowhere,N/A,N/A,62.65,55,0.618,34,21,12,18430,10630,7800,56,26,50,123,0.455,335.09,1.02,0.47,0.91,2.24
Amateur,RSC007220,maxf,Astro Amber Ales,5 O'clock Nowhere,N/A,N/A,49.3,12,0.583,7,5,4,3348,2000,1348,9,5,12,25,0.360,279.00,0.75,0.42,1.00,2.08
Amateur,RSC006919,rinny_b0y,Astro Amber Ales,5 O'clock Nowhere,N/A,N/A,73.99,53,0.642,34,19,14,18747,11370,7377,51,41,58,132,0.386,353.70,0.96,0.77,1.09,2.49
Amateur,RSC007270,D0pey killer,Free Agent,Free Agent,N/A,N/A,20.98,3,0.000,0,3,0,804,390,414,1,1,4,4,0.250,268.00,0.33,0.33,1.33,1.33
Amateur,RSC006137,FULLBL00DN8V,Free Agent,Free Agent,N/A,N/A,29.3,21,0.476,10,11,0,4242,2000,2242,5,14,10,30,0.167,202.00,0.24,0.67,0.48,1.43
Amateur,RSC004446,SolrSlayr,Free Agent,Free Agent,N/A,N/A,18.09,2,0.500,1,1,1,451,230,221,0,0,4,3,0.000,225.50,0.00,0.00,2.00,1.50
Amateur,RSC000776,bernatra,Free Agent,Free Agent,N/A,N/A,84.87,12,0.667,8,4,4,4905,2840,2065,15,8,12,34,0.441,408.75,1.25,0.67,1.00,2.83
Amateur,RSC007250,theLS14,Free Agent,Free Agent,N/A,N/A,59.18,6,0.667,4,2,0,1800,960,840,3,4,6,16,0.188,300.00,0.50,0.67,1.00,2.67
Amateur,RSC007284,7aco104,House Salads,Fifty-Fifty Pizzeria,N/A,N/A,57.08,31,0.710,22,9,5,8871,5320,3551,27,16,23,67,0.403,286.16,0.87,0.52,0.74,2.16
Amateur,RSC005937,SlashFabo420,House Salads,Fifty-Fifty Pizzeria,N/A,N/A,71.49,35,0.629,22,13,7,12152,7320,4832,36,21,34,97,0.371,347.20,1.03,0.60,0.97,2.77
Amateur,RSC006381,YERP_YERP02,House Salads,Fifty-Fifty Pizzeria,N/A,N/A,73.76,55,0.636,35,20,16,18918,10790,8128,51,43,39,159,0.321,343.95,0.93,0.78,0.71,2.89
Amateur,RSC006640,YourBadKittyCat,House Salads,Fifty-Fifty Pizzeria,N/A,N/A,69.51,52,0.654,34,18,9,16948,10390,6558,55,36,36,129,0.426,325.92,1.06,0.69,0.69,2.48
Amateur,RSC007179,B0A._.,Hyenas,Safari,N/A,N/A,59.35,43,0.791,34,9,3,12271,7130,5141,38,27,23,83,0.458,285.37,0.88,0.63,0.54,1.93
Amateur,RSC006443,ONLYSLIM2198,Hyenas,Safari,N/A,N/A,78.37,47,0.745,35,12,7,16424,10330,6094,54,39,38,108,0.500,349.43,1.15,0.83,0.81,2.30
Amateur,RSC007217,Zero-Funds,Hyenas,Safari,N/A,N/A,114.76,56,0.732,41,15,30,27504,17550,9954,95,47,72,210,0.452,491.13,1.70,0.84,1.29,3.75
Amateur,RSC006533,kalandor4,Hyenas,Safari,N/A,N/A,43.54,12,0.417,5,7,0,3117,1960,1157,11,4,8,26,0.423,259.67,0.92,0.33,0.67,2.17
