Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Premier,RSC005157,ScuLa,Punks,The Pit,Lunar,Lunar Ember,67.97,837,51,16.41,0.484,0.451,23,28,9,21474,11270,10204,43,30,78,157,0.274,420.71,220.79,199.91,0.84,0.59,1.53,3.08,421.06,220.98,200.08,0.84,0.59,1.53,3.08,114,129,2.23,2.53,2.24,2.53
Premier,RSC003334,vidhawk rl,Punks,The Pit,Lunar,Lunar Ember,36.31,501,32,15.66,0.491,0.531,17,15,8,10408,5610,4798,22,10,43,76,0.289,340.66,183.62,157.04,0.72,0.33,1.41,2.49,325.25,175.31,149.94,0.69,0.31,1.34,2.38,62,66,2.03,2.16,1.94,2.06
Premier,RSC003749,Rule,Punks,The Pit,Lunar,Lunar Ember,38.55,796,47,16.94,0.479,0.426,20,27,3,15824,8970,6854,28,29,70,122,0.230,325.98,184.79,141.20,0.58,0.60,1.44,2.51,336.68,190.85,145.83,0.60,0.62,1.49,2.60,107,126,2.20,2.60,2.28,2.68
Premier,RSC003780,FusionBleach,Crooked Capos,The Syndicate,Lunar,Lunar Cloud,80.16,914,56,16.32,0.511,0.500,28,28,16,24890,13830,11060,50,52,92,163,0.307,446.55,248.12,198.43,0.90,0.93,1.65,2.92,444.46,246.96,197.50,0.89,0.93,1.64,2.91,136,124,2.44,2.22,2.43,2.21
Premier,RSC001214,Corrupt,Crooked Capos,The Syndicate,Lunar,Lunar Cloud,40.39,783,48,16.31,0.518,0.500,24,24,3,15795,8870,6925,27,26,72,127,0.213,330.79,185.76,145.03,0.57,0.54,1.51,2.66,329.06,184.79,144.27,0.56,0.54,1.50,2.65,115,100,2.41,2.09,2.40,2.08
Premier,RSC004749,Vega,Crooked Capos,The Syndicate,Lunar,Lunar Cloud,40.16,124,8,15.50,0.445,0.375,3,5,0,2612,1460,1152,6,2,11,21,0.286,345.42,193.07,152.34,0.79,0.26,1.45,2.78,326.50,182.50,144.00,0.75,0.25,1.38,2.63,13,17,1.72,2.25,1.63,2.13
Premier,RSC005170,FrenchyNF,Super Clusters,The Cosmos,Lunar,Lunar Cloud,36.65,884,56,15.79,0.463,0.429,24,32,4,18292,10260,8032,32,26,91,121,0.264,339.31,190.32,148.99,0.59,0.48,1.69,2.24,326.64,183.21,143.43,0.57,0.46,1.63,2.16,118,159,2.19,2.95,2.11,2.84
Premier,RSC002062,Qundar al-Din,Super Clusters,The Cosmos,Lunar,Lunar Cloud,47.28,884,56,15.79,0.463,0.429,24,32,9,19891,10390,9501,40,33,69,129,0.310,368.97,192.73,176.24,0.74,0.61,1.28,2.39,355.20,185.54,169.66,0.71,0.59,1.23,2.30,118,159,2.19,2.95,2.11,2.84
Premier,RSC005100,Fluffy,"Super Clusters
Crooked Capos","The Cosmos
The Syndicate","Lunar
Lunar","Lunar Cloud
Lunar Cloud",26.73,342,20,17.10,0.465,0.400,8,12,1,6191,3300,2891,9,13,26,45,0.200,296.84,158.23,138.62,0.43,0.62,1.25,2.16,309.55,165.00,144.55,0.45,0.65,1.30,2.25,48,59,2.30,2.83,2.40,2.95
Premier,RSC004228,LYRICS,Interstellar,Event Horizon,Solar,Solar Ember,86.91,142,8,17.75,0.491,0.375,3,5,2,3995,2370,1625,9,11,14,22,0.409,461.34,273.68,187.65,1.04,1.27,1.62,2.54,499.38,296.25,203.13,1.13,1.38,1.75,2.75,27,28,3.12,3.23,3.38,3.50
Premier,RSC007693,Basicalllyyy,Interstellar,Event Horizon,Solar,Solar Ember,55.58,142,8,17.75,0.491,0.375,3,5,0,3314,2030,1284,8,5,15,23,0.348,382.70,234.42,148.27,0.92,0.58,1.73,2.66,414.25,253.75,160.50,1.00,0.63,1.88,2.88,27,28,3.12,3.23,3.38,3.50
