Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G,opp_S,opp_S/A,opp_S/G,opp_S%
Premier,RSC006203,Tartan,Cerberus,Pawverse,Solar,N/A,141.28,76,4,19.00,0.680,0.750,3,1,3,2627,1810,817,11,3,6,26,0.423,582.19,401.13,181.06,2.44,0.66,1.33,5.76,656.75,452.50,204.25,2.75,0.75,1.50,6.50,16,8,3.55,1.77,4.00,2.00,32,7.09,8.00,0.25
Premier,RSC006534,FIN0oo,Gummy Bears,The Bear Den,Solar,N/A,111.47,56,4,14.00,0.612,0.500,2,2,0,1560,940,620,3,6,5,9,0.333,469.20,282.72,186.48,0.90,1.80,1.50,2.71,390.00,235.00,155.00,0.75,1.50,1.25,2.25,12,8,3.61,2.41,3.00,2.00,25,7.52,6.25,0.32
Premier,RSC008343,surreal,Capybaras,The Jungle,Solar,N/A,103.23,825,47,17.55,0.524,0.574,27,20,24,26536,15140,11396,56,40,114,184,0.304,541.75,309.09,232.66,1.14,0.82,2.33,3.76,564.60,322.13,242.47,1.19,0.85,2.43,3.91,131,109,2.67,2.23,2.79,2.32,393,8.02,8.36,0.28
Premier,RSC014130,Whitlock7,Super Clusters,The Cosmos,Solar,N/A,83.85,472,28,16.86,0.515,0.536,15,13,9,12855,7120,5735,28,21,44,107,0.262,458.72,254.07,204.65,1.00,0.75,1.57,3.82,459.11,254.29,204.82,1.00,0.75,1.57,3.82,73,66,2.60,2.36,2.61,2.36,208,7.42,7.43,0.32
Premier,RSC001605,Reeves,Long Beards,Dwarf Haven,Lunar,N/A,81.26,742,44,16.86,0.561,0.727,32,12,14,19199,10990,8209,45,40,60,149,0.302,435.81,249.47,186.34,1.02,0.91,1.36,3.38,436.34,249.77,186.57,1.02,0.91,1.36,3.39,130,82,2.95,1.86,2.95,1.86,310,7.04,7.05,0.26
Premier,RSC014111,DerpyAF,Valkyries,Mach Velocity,Lunar,N/A,79.58,765,44,17.39,0.518,0.568,25,19,14,19910,11560,8350,51,32,63,171,0.298,438.36,254.52,183.84,1.12,0.70,1.39,3.76,452.50,262.73,189.77,1.16,0.73,1.43,3.89,119,104,2.62,2.29,2.70,2.36,366,8.06,8.32,0.28
Premier,RSC003334,vidhawk rl,Lords,The King's Court,Lunar,N/A,78.69,896,52,17.23,0.531,0.673,35,17,19,22502,13980,8522,65,43,70,183,0.355,422.99,262.80,160.20,1.22,0.81,1.32,3.44,432.73,268.85,163.88,1.25,0.83,1.35,3.52,154,121,2.89,2.27,2.96,2.33,394,7.41,7.58,0.31
Premier,RSC014019,insxner,Jokers,The Casino,Lunar,N/A,76.71,759,46,16.50,0.498,0.522,24,22,12,20611,11470,9141,47,34,74,137,0.343,457.38,254.53,202.85,1.04,0.75,1.64,3.04,448.07,249.35,198.72,1.02,0.74,1.61,2.98,113,115,2.51,2.55,2.46,2.50,384,8.52,8.35,0.30
Premier,RSC002167,tokyo.,Gummy Bears,The Bear Den,Solar,N/A,75.50,672,44,15.27,0.518,0.614,27,17,13,17908,10170,7738,41,29,67,127,0.323,448.85,254.90,193.94,1.03,0.73,1.68,3.18,407.00,231.14,175.86,0.93,0.66,1.52,2.89,110,96,2.76,2.41,2.50,2.18,325,8.15,7.39,0.30
Premier,RSC000259,Oni.,Leviathans,Mythical,Solar,N/A,68.54,829,52,15.94,0.486,0.442,23,29,15,20684,11120,9564,40,36,74,162,0.247,420.24,225.93,194.31,0.81,0.73,1.50,3.29,397.77,213.85,183.92,0.77,0.69,1.42,3.12,110,123,2.23,2.50,2.12,2.37,424,8.61,8.15,0.29
Premier,RSC003780,FusionBleach,Long Beards,Dwarf Haven,Lunar,N/A,65.13,922,56,16.46,0.547,0.696,39,17,11,21918,12760,9158,50,42,80,166,0.301,400.39,233.10,167.30,0.91,0.77,1.46,3.03,391.39,227.86,163.54,0.89,0.75,1.43,2.96,159,109,2.90,1.99,2.84,1.95,400,7.31,7.14,0.27
Premier,RSC014316,Ale.,Double Mint,Minty Fresh,Lunar,N/A,62.96,68,4,17.00,0.428,0.250,1,3,1,1499,970,529,2,4,9,12,0.167,371.29,240.26,131.03,0.50,0.99,2.23,2.97,374.75,242.50,132.25,0.50,1.00,2.25,3.00,10,13,2.48,3.22,2.50,3.25,35,8.67,8.75,0.37
Premier,RSC005170,FrenchyNF,Gummy Bears,The Bear Den,Solar,N/A,62.42,844,56,15.07,0.519,0.607,34,22,12,19795,11040,8755,44,42,64,134,0.328,395.03,220.32,174.72,0.88,0.84,1.28,2.67,353.48,197.14,156.34,0.79,0.75,1.14,2.39,142,122,2.83,2.43,2.54,2.18,411,8.20,7.34,0.30
Premier,RSC007412,spuf.,Lords,The King's Court,Lunar,N/A,61.97,130,8,16.25,0.487,0.500,4,4,2,3254,1910,1344,7,5,15,21,0.333,421.59,247.46,174.13,0.91,0.65,1.94,2.72,406.75,238.75,168.00,0.88,0.63,1.88,2.63,16,17,2.07,2.20,2.00,2.13,67,8.68,8.38,0.25
Premier,RSC003433,EllectroZx,Cerberus,Pawverse,Solar,N/A,60.94,73,4,18.25,0.448,0.250,1,3,0,1867,1160,707,4,4,10,6,0.667,430.76,267.64,163.12,0.92,0.92,2.31,1.38,466.75,290.00,176.75,1.00,1.00,2.50,1.50,16,19,3.69,4.38,4.00,4.75,48,11.07,12.00,0.40
Premier,RSC008244,Oghma,Lords,The King's Court,Lunar,N/A,60.33,886,52,17.04,0.536,0.673,35,17,8,19678,11510,8168,47,35,65,181,0.260,374.08,218.81,155.27,0.89,0.67,1.24,3.44,378.42,221.35,157.08,0.90,0.67,1.25,3.48,154,116,2.93,2.21,2.96,2.23,387,7.36,7.44,0.30
Premier,RSC000181,Eclipse,Gummy Bears,The Bear Den,Solar,N/A,60.33,844,56,15.07,0.519,0.607,34,22,9,19941,11910,8031,51,32,75,146,0.349,397.95,237.68,160.27,1.02,0.64,1.50,2.91,356.09,212.68,143.41,0.91,0.57,1.34,2.61,142,122,2.83,2.43,2.54,2.18,411,8.20,7.34,0.30
Premier,RSC012969,hydrosin.,Long Beards,Dwarf Haven,Lunar,N/A,60.21,791,48,16.48,0.552,0.750,36,12,13,18319,11120,7199,50,24,66,162,0.309,390.07,236.78,153.29,1.06,0.51,1.41,3.45,381.65,231.67,149.98,1.04,0.50,1.38,3.38,135,90,2.87,1.92,2.81,1.88,336,7.15,7.00,0.27
Premier,RSC001903,Plasma,Jokers,The Casino,Lunar,N/A,55.85,656,37,17.73,0.491,0.486,18,19,7,15176,8700,6476,33,25,61,110,0.300,389.65,223.37,166.27,0.85,0.64,1.57,2.82,410.16,235.14,175.03,0.89,0.68,1.65,2.97,93,99,2.39,2.54,2.51,2.68,351,9.01,9.49,0.28
Premier,RSC002714,Andy,"Cerberus
Jokers","Pawverse
The Casino","Solar
Lunar","N/A
N/A",54.81,878,52,16.88,0.485,0.385,20,32,7,21753,12090,9663,43,27,101,139,0.309,417.30,231.93,185.37,0.82,0.52,1.94,2.67,418.33,232.50,185.83,0.83,0.52,1.94,2.67,124,139,2.38,2.67,2.38,2.67,487,9.34,9.37,0.29
Premier,RSC000009,Timbo,Double Mint,Minty Fresh,Lunar,N/A,53.24,46,2,23.00,0.500,0.500,1,1,0,897,560,337,2,3,3,6,0.333,328.44,205.04,123.39,0.73,1.10,1.10,2.20,448.50,280.00,168.50,1.00,1.50,1.50,3.00,7,7,2.56,2.56,3.50,3.50,21,7.69,10.50,0.33
Premier,RSC007641,sammy slots,Double Mint,Minty Fresh,Lunar,N/A,51.89,514,29,17.72,0.481,0.414,12,17,3,12175,7310,4865,25,16,64,81,0.309,398.96,239.54,159.42,0.82,0.52,2.10,2.65,419.83,252.07,167.76,0.86,0.55,2.21,2.79,67,76,2.20,2.49,2.31,2.62,290,9.50,10.00,0.26
Premier,RSC006719,pman,Valkyries,Mach Velocity,Lunar,N/A,50.62,774,44,17.59,0.505,0.523,23,21,7,17180,10240,6940,41,30,70,114,0.360,373.85,222.83,151.02,0.89,0.65,1.52,2.48,390.45,232.73,157.73,0.93,0.68,1.59,2.59,120,116,2.61,2.52,2.73,2.64,383,8.33,8.70,0.30
Premier,RSC007820,KuRupT,Jokers,The Casino,Lunar,N/A,50.58,46,3,15.33,0.392,0.333,1,2,0,1021,590,431,3,1,3,9,0.333,373.84,216.03,157.81,1.10,0.37,1.10,3.30,340.33,196.67,143.67,1.00,0.33,1.00,3.00,7,10,2.56,3.66,2.33,3.33,20,7.32,6.67,0.50
Premier,RSC000672,JK,Leviathans,Mythical,Solar,N/A,50.54,481,33,14.58,0.518,0.576,19,14,6,10690,5650,5040,17,22,43,70,0.243,374.33,197.84,176.48,0.60,0.77,1.51,2.45,323.94,171.21,152.73,0.52,0.67,1.30,2.12,66,58,2.31,2.03,2.00,1.76,233,8.16,7.06,0.25
Premier,RSC000241,Geherpaderp,Gummy Bears,The Bear Den,Solar,N/A,49.78,58,4,14.50,0.444,0.500,2,2,0,1205,550,655,1,3,4,10,0.100,349.93,159.72,190.21,0.29,0.87,1.16,2.90,301.25,137.50,163.75,0.25,0.75,1.00,2.50,9,11,2.61,3.19,2.25,2.75,29,8.42,7.25,0.38
Premier,RSC014202,B,Cerberus,Pawverse,Solar,N/A,49.61,72,4,18.00,0.419,0.250,1,3,0,1787,990,797,3,1,10,14,0.214,418.03,231.59,186.44,0.70,0.23,2.34,3.28,446.75,247.50,199.25,0.75,0.25,2.50,3.50,8,11,1.87,2.57,2.00,2.75,39,9.12,9.75,0.28
Premier,RSC014313,JDE,Super Clusters,The Cosmos,Solar,N/A,48.15,195,12,16.25,0.447,0.500,6,6,2,4265,2420,1845,8,7,19,32,0.250,368.39,209.03,159.36,0.69,0.60,1.64,2.76,355.42,201.67,153.75,0.67,0.58,1.58,2.67,21,28,1.81,2.42,1.75,2.33,99,8.55,8.25,0.28
Premier,RSC001977,T.,"Double Mint
Cerberus","Minty Fresh
Pawverse","Lunar
Solar","N/A
N/A",47.91,668,40,16.70,0.452,0.250,10,30,5,14869,8140,6729,31,23,57,104,0.298,374.91,205.24,169.67,0.78,0.58,1.44,2.62,371.73,203.50,168.23,0.78,0.58,1.43,2.60,85,120,2.14,3.03,2.13,3.00,376,9.48,9.40,0.32
Premier,RSC008576,Sangani,Lords,The King's Court,Lunar,N/A,47.52,833,48,17.35,0.536,0.688,33,15,6,16968,10000,6968,38,39,61,120,0.317,343.09,202.20,140.89,0.77,0.79,1.23,2.43,353.50,208.33,145.17,0.79,0.81,1.27,2.50,148,113,2.99,2.28,3.08,2.35,367,7.42,7.65,0.31
Premier,RSC000462,kruncho,"Lords
Cerberus
Long Beards","The King's Court
Pawverse
Dwarf Haven","Lunar
Solar
Lunar","N/A
N/A
N/A",47.22,172,12,14.33,0.465,0.417,5,7,3,3988,2160,1828,7,4,19,31,0.226,390.52,211.52,179.01,0.69,0.39,1.86,3.04,332.33,180.00,152.33,0.58,0.33,1.58,2.58,19,23,1.86,2.25,1.58,1.92,89,8.72,7.42,0.26
Premier,RSC000579,Cryptt.,Double Mint,Minty Fresh,Lunar,N/A,46.89,663,39,17.00,0.448,0.282,11,28,4,14840,8510,6330,26,23,75,101,0.257,377.00,216.19,160.81,0.66,0.58,1.91,2.57,380.51,218.21,162.31,0.67,0.59,1.92,2.59,85,123,2.16,3.12,2.18,3.15,369,9.37,9.46,0.33
Premier,RSC007382,takeeover,"Gummy Bears
Super Clusters","The Bear Den
The Cosmos","Solar
Solar","N/A
N/A",46.49,396,24,16.50,0.454,0.458,11,13,5,8961,5000,3961,16,13,43,60,0.267,381.14,212.66,168.47,0.68,0.55,1.83,2.55,373.38,208.33,165.04,0.67,0.54,1.79,2.50,50,67,2.13,2.85,2.08,2.79,205,8.72,8.54,0.33
