RSC ID,# of Seasons,First Season,Seasons Played
RSC000001,8,5,"[5, 6, 7, 9, 10, 12, 21, 23]"
RSC000002,2,6,"[6, 7]"
RSC000004,2,4,"[4, 5]"
RSC000005,5,8,"[8, 10, 11, 14, 15]"
RSC000006,1,6,[6]
RSC000007,3,6,"[6, 9, 21]"
RSC000008,1,5,[5]
RSC000009,22,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000010,5,4,"[4, 5, 6, 7, 8]"
RSC000011,12,6,"[6, 8, 9, 11, 14, 15, 16, 17, 18, 19, 20, 21]"
RSC000012,4,6,"[6, 7, 8, 9]"
RSC000013,2,6,"[6, 9]"
RSC000014,5,1,"[1, 2, 8, 9, 24]"
RSC000015,1,6,[6]
RSC000016,22,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000017,2,1,"[1, 2]"
RSC000018,5,6,"[6, 7, 8, 9, 10]"
RSC000019,5,2,"[2, 3, 4, 5, 6]"
RSC000020,8,6,"[6, 7, 8, 9, 10, 11, 13, 14]"
RSC000021,21,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
RSC000022,1,5,[5]
RSC000023,12,6,"[6, 7, 8, 9, 10, 11, 14, 16, 18, 21, 22, 23]"
RSC000024,6,5,"[5, 6, 7, 8, 9, 13]"
RSC000025,13,1,"[1, 2, 3, 4, 5, 6, 7, 20, 21, 22, 23, 24, 25]"
RSC000026,5,4,"[4, 5, 6, 14, 15]"
RSC000027,2,1,"[1, 2]"
RSC000028,4,4,"[4, 5, 6, 7]"
RSC000029,4,6,"[6, 7, 13, 14]"
RSC000030,19,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
RSC000031,2,6,"[6, 7]"
RSC000032,11,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
RSC000033,1,6,[6]
RSC000034,5,4,"[4, 5, 6, 7, 8]"
RSC000035,13,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 19, 20, 21]"
RSC000036,3,2,"[2, 3, 12]"
RSC000037,12,6,"[6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 19, 20]"
RSC000038,7,4,"[4, 5, 6, 8, 9, 12, 13]"
RSC000039,17,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
RSC000040,1,2,[2]
RSC000041,3,5,"[5, 6, 7]"
RSC000043,4,5,"[5, 6, 7, 9]"
RSC000044,1,6,[6]
RSC000045,1,6,[6]
RSC000047,2,4,"[4, 6]"
RSC000048,13,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20]"
RSC000049,2,6,"[6, 7]"
RSC000050,9,1,"[1, 3, 4, 6, 7, 8, 9, 11, 12]"
RSC000052,10,4,"[4, 5, 6, 8, 9, 10, 12, 13, 14, 20]"
RSC000053,14,6,"[6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 21, 23, 24, 25]"
RSC000054,10,6,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 17]"
RSC000055,1,6,[6]
RSC000056,2,1,"[1, 2]"
RSC000057,1,6,[6]
RSC000058,2,6,"[6, 10]"
RSC000059,3,4,"[4, 5, 6]"
RSC000060,2,6,"[6, 8]"
RSC000061,2,6,"[6, 7]"
RSC000062,3,6,"[6, 8, 9]"
RSC000063,5,6,"[6, 8, 9, 10, 11]"
RSC000064,2,5,"[5, 6]"
RSC000065,7,6,"[6, 7, 8, 9, 10, 11, 12]"
RSC000066,6,5,"[5, 6, 7, 8, 9, 11]"
RSC000067,3,2,"[2, 3, 4]"
RSC000068,2,5,"[5, 6]"
RSC000069,2,6,"[6, 7]"
RSC000070,4,5,"[5, 6, 7, 8]"
RSC000072,4,4,"[4, 5, 6, 7]"
RSC000073,9,6,"[6, 8, 10, 11, 12, 13, 14, 15, 17]"
RSC000074,1,7,[7]
RSC000076,5,4,"[4, 5, 6, 7, 8]"
RSC000077,7,6,"[6, 7, 8, 9, 10, 11, 12]"
RSC000078,2,4,"[4, 5]"
RSC000079,5,5,"[5, 6, 7, 9, 11]"
RSC000080,18,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]"
RSC000081,5,6,"[6, 7, 8, 9, 10]"
RSC000082,16,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
RSC000083,9,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC000084,9,1,"[1, 2, 4, 5, 6, 7, 8, 10, 12]"
RSC000085,4,4,"[4, 5, 6, 7]"
RSC000086,19,4,"[4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]"
RSC000087,4,6,"[6, 7, 8, 9]"
RSC000088,7,5,"[5, 6, 7, 8, 9, 11, 14]"
RSC000090,5,6,"[6, 7, 8, 9, 11]"
RSC000091,7,5,"[5, 7, 8, 10, 15, 16, 19]"
RSC000092,3,6,"[6, 7, 8]"
RSC000093,5,5,"[5, 15, 16, 17, 18]"
RSC000094,12,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 21]"
RSC000095,2,6,"[6, 7]"
RSC000096,8,2,"[2, 3, 4, 6, 7, 9, 10, 11]"
RSC000097,7,1,"[1, 2, 3, 4, 6, 8, 13]"
RSC000098,6,4,"[4, 7, 8, 10, 14, 15]"
RSC000099,7,4,"[4, 5, 6, 7, 8, 9, 10]"
RSC000100,3,3,"[3, 4, 5]"
RSC000102,1,6,[6]
RSC000103,2,5,"[5, 6]"
RSC000104,4,3,"[3, 4, 5, 7]"
RSC000106,12,1,"[1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000107,5,2,"[2, 3, 4, 5, 6]"
RSC000108,1,6,[6]
RSC000110,2,5,"[5, 6]"
RSC000111,14,6,"[6, 7, 8, 10, 11, 12, 14, 18, 19, 20, 21, 22, 24, 25]"
RSC000112,4,6,"[6, 8, 10, 11]"
RSC000113,1,5,[5]
RSC000114,3,6,"[6, 7, 9]"
RSC000115,2,6,"[6, 8]"
RSC000116,3,5,"[5, 6, 7]"
RSC000117,1,6,[6]
RSC000118,8,1,"[1, 5, 6, 7, 8, 10, 11, 13]"
RSC000119,10,6,"[6, 8, 9, 14, 15, 16, 17, 18, 19, 21]"
RSC000120,1,6,[6]
RSC000121,11,1,"[1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC000122,4,6,"[6, 7, 8, 9]"
RSC000123,1,6,[6]
RSC000124,13,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000125,2,6,"[6, 7]"
RSC000126,3,6,"[6, 11, 13]"
RSC000127,6,1,"[1, 2, 3, 4, 5, 6]"
RSC000128,12,6,"[6, 8, 9, 10, 11, 15, 16, 17, 19, 20, 23, 25]"
RSC000129,11,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
RSC000130,14,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
RSC000132,3,4,"[4, 5, 6]"
RSC000133,6,6,"[6, 8, 9, 11, 12, 13]"
RSC000134,1,6,[6]
RSC000136,19,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000137,2,6,"[6, 7]"
RSC000138,1,1,[1]
RSC000139,5,4,"[4, 5, 6, 12, 13]"
RSC000140,12,5,"[5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 21, 25]"
RSC000141,3,5,"[5, 6, 7]"
RSC000142,2,6,"[6, 7]"
RSC000143,4,6,"[6, 7, 8, 9]"
RSC000145,4,6,"[6, 7, 8, 12]"
RSC000146,13,9,"[9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23]"
RSC000147,4,6,"[6, 7, 11, 12]"
RSC000148,6,4,"[4, 5, 6, 8, 12, 21]"
RSC000149,6,1,"[1, 3, 4, 5, 6, 7]"
RSC000150,1,6,[6]
RSC000151,12,1,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
RSC000152,1,6,[6]
RSC000153,1,6,[6]
RSC000154,1,5,[5]
RSC000155,5,3,"[3, 5, 6, 8, 9]"
RSC000156,18,4,"[4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000157,3,6,"[6, 7, 8]"
RSC000158,13,1,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
RSC000159,12,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 16, 19]"
RSC000160,7,4,"[4, 5, 6, 7, 8, 9, 10]"
RSC000161,1,5,[5]
RSC000162,13,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18]"
RSC000164,2,5,"[5, 6]"
RSC000165,5,5,"[5, 6, 7, 8, 9]"
RSC000167,2,6,"[6, 7]"
RSC000168,3,8,"[8, 9, 12]"
RSC000169,7,6,"[6, 7, 8, 9, 10, 14, 17]"
RSC000170,6,6,"[6, 7, 8, 9, 14, 20]"
RSC000171,3,6,"[6, 11, 12]"
RSC000172,11,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000173,4,5,"[5, 6, 8, 17]"
RSC000174,2,1,"[1, 2]"
RSC000175,9,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000176,5,5,"[5, 6, 7, 9, 10]"
RSC000177,1,6,[6]
RSC000178,10,5,"[5, 6, 7, 9, 10, 11, 12, 13, 15, 16]"
RSC000179,7,5,"[5, 8, 11, 12, 13, 14, 23]"
RSC000181,5,6,"[6, 8, 23, 24, 25]"
RSC000182,20,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000183,17,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 23, 24]"
RSC000184,6,2,"[2, 3, 6, 7, 8, 9]"
RSC000185,10,4,"[4, 5, 6, 7, 8, 9, 10, 12, 13, 14]"
