RSC Id,Player Name,Season,Tier,Played,Wins,Losses,MVPs,Pts,Goals,Assists,Saves,Shots,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT,W%,MVP%,PPG,GPG,APG,SvPG,ShPG,DIPG,DTPG,Sh%,G+A,G+A PG
RSC000001,ObiJuanKenoi,5,Veteran,30,18,12,4,9582,23,13,31,76,4,2,0,1,,,0.60,0.22,319.40,0.77,0.43,1.03,2.53,0.00,0.00,0.30,36,1.20
RSC000001,ObiJuanKenoi,6,Veteran,21,8,13,1,6840,16,9,27,54,1,1,0,3,,,0.38,0.13,325.71,0.76,0.43,1.29,2.57,0.00,0.00,0.30,25,1.19
RSC000001,ObiJuanKenoi,7,Veteran,44,19,25,6,16714,42,25,72,125,10,4,2,12,,,0.43,0.32,379.86,0.95,0.57,1.64,2.84,0.00,0.00,0.34,67,1.52
RSC000001,ObiJuanKenoi,9,Elite,18,3,15,1,4947,8,4,25,32,1,1,0,2,,,0.17,0.33,274.83,0.44,0.22,1.39,1.78,0.00,0.00,0.25,12,0.67
RSC000001,ObiJuanKenoi,10,Veteran,46,26,20,11,18214,60,31,47,159,10,8,1,2,,,0.57,0.42,395.96,1.30,0.67,1.02,3.46,0.00,0.00,0.38,91,1.98
RSC000001,ObiJuanKenoi,12,Elite,3,1,2,1,1390,5,1,6,13,1,1,0,1,2,1,0.33,1.00,463.33,1.67,0.33,2.00,4.33,0.67,0.33,0.38,6,2.00
RSC000001,Obijuankenoi,21,Rival,17,9,8,2,5688,12,6,25,33,2,0,0,3,8,24,0.53,0.22,334.59,0.71,0.35,1.47,1.94,0.47,1.41,0.36,18,1.06
RSC000001,Obijuankenoi,23,Veteran,4,0,4,0,1045,1,2,4,9,0,0,0,0,0,5,0.00,,261.25,0.25,0.50,1.00,2.25,0.00,1.25,0.11,3,0.75
RSC000002,Zenlos,6,Elite,48,22,26,12,18560,43,25,81,133,11,2,0,16,,,0.46,0.55,386.67,0.90,0.52,1.69,2.77,0.00,0.00,0.32,68,1.42
RSC000002,Zenlos,7,Elite,39,23,16,8,14201,36,28,48,109,9,5,0,5,,,0.59,0.35,364.13,0.92,0.72,1.23,2.79,0.00,0.00,0.33,64,1.64
RSC000002,Zenlos,7,Premier,1,1,0,1,564,1,1,3,6,1,0,0,1,,,1.00,1.00,564.00,1.00,1.00,3.00,6.00,0.00,0.00,0.17,2,2.00
RSC000004,rondo,4,Challenger,64,35,29,15,21310,44,33,80,154,11,2,1,7,,,0.55,0.43,332.97,0.69,0.52,1.25,2.41,0.00,0.00,0.29,77,1.20
RSC000004,rondo,5,Rival,52,34,18,12,20289,46,34,76,140,10,2,2,9,,,0.65,0.35,390.17,0.88,0.65,1.46,2.69,0.00,0.00,0.33,80,1.54
RSC000005,Klikind,8,Prospect,38,13,25,7,12269,31,24,32,86,8,0,2,1,,,0.34,0.54,322.87,0.82,0.63,0.84,2.26,0.00,0.00,0.36,55,1.45
RSC000005,Kli,10,Prospect,36,24,12,8,11009,28,24,30,79,8,3,1,3,,,0.67,0.33,305.81,0.78,0.67,0.83,2.19,0.00,0.00,0.35,52,1.44
RSC000005,Kli,11,Challenger,46,18,28,5,14611,40,21,53,103,7,4,2,4,10,32,0.39,0.28,317.63,0.87,0.46,1.15,2.24,0.22,0.70,0.39,61,1.33
RSC000005,Kli,14,Challenger,6,1,5,0,1784,3,3,7,13,1,0,0,1,3,3,0.17,0.00,297.33,0.50,0.50,1.17,2.17,0.50,0.50,0.23,6,1.00
RSC000005,Kli,15,Challenger,14,5,9,0,3901,6,12,16,27,1,0,0,1,1,9,0.36,0.00,278.64,0.43,0.86,1.14,1.93,0.07,0.64,0.22,18,1.29
RSC000006,Envy,6,Rival,31,16,15,3,9203,20,20,30,77,3,1,1,1,,,0.52,0.19,296.87,0.65,0.65,0.97,2.48,0.00,0.00,0.26,40,1.29
RSC000007,Anömäly,6,Elite,16,8,8,5,7193,16,8,30,48,3,1,0,6,,,0.50,0.63,449.56,1.00,0.50,1.88,3.00,0.00,0.00,0.33,24,1.50
