RSC ID,Tier,Name,GP,Season,Team,Franchise,Conference,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,DIt,DTt,pdt,pdh,pnt,poh,pot,DI,DT,MAJ,EXT,ACC,NEG,RAW,z1,z2,z3,z4,AFP,tZ,mShPG,mShA,SvpmShA,SvpAA,SvpGA,TierMaxGames,GPThreshold,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,pdt_mean,pdt_std,pnt_mean,pnt_std,pot_mean,pot_std,AFP_mean,AFP_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,pdt_z,pnt_z,pot_z,AFP_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,PvShA,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC002055,Amateur,BLAPGaming,20,12,Capybaras,The Jungle,N/A,4,9,"[9, 10, 11, 12]",246.95,0.45,0.6,0.7,2.0,22.5,0.65,0.333,1.7,0,0,1,12.0,8.0,0.441,0.637,0.354,0.363,0.204,0.6,0.4,134.9,112.05,1,1.25,110.8,0.441,0.196,0.159,0.204,0.344,38.115,1.55,1.05,0.67,2.1,1.08,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-1.3073732214552656,-1.6447713395525168,0.8145211411684523,-0.12589660003612405,-3.3758258437306905,-0.6594410055574875,0.46538162052590826,0.7722089553878067,0.4269780543111588,-0.6799902182842295,0.05860312317437545,1.0508091039695289,-2.228530534035944,2.714242146921623,0.5372376236065507,1.7544976067455207,0.09764990104497367,1.4231675359772527,0.30993714567188513,-0.6540367358825336,0.10644971573144701,-0.2800117902183342,-0.25,0.09,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-0.15112315311514773,0.05743472045955589,0.0834,74.236,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,0.09613083385993262,-0.849571823526096,0.0173,-0.084,-0.2889,-0.0272,-0.126,0.0264,-0.0416,-0.38280000000000003,-0.1412,1.5208,87.5,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-0.4579384405533146,-0.16491350593883025,0.8484896382737983,-1.8187841033540209,-0.6495411243902767,-0.517090166397268,1.2755,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-0.767324727617402,-0.6283794990024946
RSC004247,Amateur,Escorm,42,12,Capybaras,The Jungle,N/A,2,12,"[12, 13]",256.881,0.786,0.476,0.667,1.643,47.839,0.667,0.397,1.913,3,1,0,21.0,21.0,0.477,0.66,0.331,0.34,0.192,0.5,0.5,156.85,100.03,4,2.38,97.65,0.477,0.183,0.148,0.192,0.323,31.541,0.86,1.25,0.53,1.68,1.0,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-1.0799390449530664,-0.344281469945161,-0.014371936426033698,-0.8909193440854243,1.0096065242830476,-0.8410142486396489,0.3676486057150318,0.15674976304883234,-0.2137146231687767,-1.4828158037068924,-0.22045936813217398,0.22986449149333466,-1.079145158315401,1.6397573039061797,-0.06810054383744964,0.7627223781679726,-0.9573220783628452,-1.2561929001054328,-0.7062502171867554,-2.0105573732685293,-0.7788746527281128,-0.6000252647535743,-1.7,-1.33,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-1.0276374411830045,-0.8437509486296086,-0.8094,51.7545,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,-0.9330148999388305,-2.0244609036911076,-0.1679,-0.18,-0.6883,-0.185,-0.27,-0.2566,-0.2826,-1.2212,-0.8091999999999999,-2.2135,142.869,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-1.4609180734113691,-0.9450715879269934,-1.2349630551808604,-0.20978146676859322,-0.8994555758320215,-0.7499410964508975,-1.4487,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-1.0625570557632131,-0.9113451407373084
RSC004106,Amateur,KDoughboy767,53,12,Capybaras,The Jungle,N/A,13,11,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",287.83,0.736,0.396,0.887,2.019,36.454,0.61,0.384,1.855,3,1,3,25.0,21.0,0.487,0.681,0.334,0.319,0.179,0.47,0.4,164.15,123.68,7,3.3,120.38,0.487,0.194,0.14,0.179,0.312,37.559,1.28,1.25,0.71,2.31,1.45,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-0.3711624536161841,-0.5378067481605415,-0.549141663906347,-0.08518110385422824,-0.96080065476255,0.36947403857476274,0.6953416553750293,0.2817649114926866,-0.03925370629630591,-0.09511804274437291,-0.3041781155241389,1.0508091039695289,-0.759871442837472,1.7799075008212377,-0.7238835585684515,0.24322106796068424,0.008425012004701108,0.3747221479448974,-0.7062502171867554,-0.26645941091510705,0.5491118999612267,1.2000505295071495,-0.13,0.19,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-0.07858403961987682,0.12089849997287734,0.3479,85.4698,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,0.40102447923378215,-0.2624904922644938,0.0722,0.36,-0.0892,-0.0141,0.54,0.1103,-0.0216,0.32889999999999997,0.6287,0.3831,130.244,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,0.39346972345560405,0.7342537205921382,0.2137403869165519,-0.576659291668646,-0.04310880345964008,0.1374018360961152,0.1745,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-0.05092587617701796,0.16697377467001875
RSC004622,Amateur,Ryzor,53,12,Capybaras,The Jungle,N/A,1,12,[12],371.736,1.113,0.566,0.981,2.358,47.201,0.616,0.365,1.836,6,2,2,63.0,20.0,0.528,0.681,0.276,0.319,0.197,1.19,0.38,219.1,152.64,10,4.72,147.92,0.528,0.153,0.122,0.197,0.298,44.08,1.25,1.22,0.8,2.69,1.59,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,1.5504055670860168,0.921373849583426,0.5872440069893188,0.6412690648648551,0.8991875712544058,0.8866826703845567,0.6608476501476612,0.4644793592183198,0.017897283713641084,1.5862368334944212,1.7050718218830174,1.214998026464768,0.5491507906220373,-0.9296629728698835,0.1841236925975511,-0.41796241775768284,1.0548917411982492,0.2582282159413023,-0.5538221127579591,0.6055895702616052,1.350119661900828,1.7600741099438197,1.6,2.05,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,0.9671881799369455,1.301324798920656,1.3272,118.336,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,1.5298802331642576,1.4551057306974657,0.2754,0.528,0.4947,0.1741,0.792,0.4207,0.266,1.4721999999999997,1.4787000000000001,1.3131,182.081,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,1.761201849226851,1.7269698428824658,0.7326089847562628,0.9297047328338517,1.1508829292625926,1.201307797314676,0.7505,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,1.359576625798563,1.4598560190843635
RSC003968,Amateur,Shootzy,51,12,Castaways,The Soundtrack,N/A,9,10,"[10, 11, 12, 13, 14, 15, 18, 19, 20]",200.529,0.412,0.373,0.725,1.196,34.448,0.954,0.51,2.301,0,1,0,30.0,23.0,0.548,0.708,0.288,0.292,0.164,0.59,0.45,113.13,87.4,1,0.49,86.91,0.548,0.16,0.128,0.164,0.278,24.161,0.78,1.35,0.54,1.42,0.76,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-2.3704808548666647,-1.791850550996206,-0.7028879605569373,-1.848804964785809,-1.3079799961033907,-0.5218855183740315,-1.2823146443274103,-0.929920373424669,-1.380797998108753,-2.1385075746148323,0.030696874043720474,0.6403367977314318,1.1876982215778955,-0.3690621852096536,-1.4805562678734523,-1.3625102544982046,-2.1416380515952302,-1.5668433854483528,-1.2143438986160762,-1.9136630420266725,-1.3269325951078401,-1.5600656883592938,-3.52,-3.07,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-2.12781399586128,-1.9480207121614013,-1.6188,46.9314,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,-1.8660240362926823,-2.276517373345885,-0.3359,-0.468,-0.774,-0.383,-0.702,-0.5132,-0.5851,-1.9609,-1.8002999999999998,-3.7085,87.608,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-2.3458226946245166,-2.1025785865175153,-2.069058274288783,-1.8156456633469549,-2.059025488622844,-1.9912378592412179,-3.4499,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-2.432395906722458,-2.419796642242639
RSC004298,Amateur,attack3432,5,12,Castaways,The Soundtrack,N/A,3,11,"[11, 12, 13]",245.2,0.4,0.2,2.0,0.8,50.0,1.133,0.733,3.8,0,0,2,2.0,3.0,0.665,0.816,0.245,0.184,0.09,0.4,0.6,172.0,73.2,2,10.0,63.2,0.665,0.151,0.094,0.09,0.193,12.198,0.4,2.67,0.75,2.73,1.77,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-1.3474507372018014,-1.838296617767897,-1.8593274962331152,-2.6974016220505788,1.3836117868142326,6.4934443279822185,-2.3113858002772267,-3.0744109967307827,-5.88971031520933,-3.5860356833883187,-0.49952185943872346,-0.5910801209828597,4.9232006926696625,-2.3778816743254843,-5.21347496711146,-5.376838560645431,-4.06141745373331,-3.042433190827223,-7.921180493483104,0.1211179140523206,1.434436268420786,2.4801044276481092,-9.48,-6.66,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-5.730589966126402,-4.226370396689641,-1.2261,47.4,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,-1.4133520720646644,-2.252028214572434,-0.2544,0.744,-0.7657,-1.0315,1.116,-0.3887,-1.5759,-1.3076,-0.8486,-7.1039,98.0,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-1.5642785699272757,-0.9910868999484511,-3.9634307873048633,-1.5136579915559571,-2.191801437270697,-1.8925750258926923,-9.8531,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-2.5892485905706017,-2.299899367417881
RSC000466,Amateur,underbreadbore,54,12,Castaways,The Soundtrack,N/A,10,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",287.204,0.611,0.333,1.093,1.833,33.333,0.975,0.568,2.377,2,0,5,22.0,28.0,0.564,0.711,0.268,0.289,0.169,0.41,0.52,158.38,128.82,7,3.24,125.58,0.564,0.147,0.12,0.169,0.272,34.158,1.22,1.4,0.78,1.92,1.12,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-0.38549875353465873,-1.0216199436989923,-0.9702728242970938,-0.4837643822664691,-1.500953558214576,1.502931252966439,-1.403043662623199,-1.487680266481864,-1.609401958148541,0.22234910890565387,-0.47161561030806864,0.06567556899809561,1.6985361663425784,-1.3033968313100386,-1.2283320314384516,-1.645874605520362,-0.5373552894808461,0.14173428393770718,-1.4683907393307354,0.41180090777789136,-0.27297501360836457,-0.12000505295071415,-1.39,-1.27,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-0.8402447313202213,-0.8056726809216157,-0.5233,97.9524,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,-0.6032225674569464,0.389853454183375,-0.1086,-0.036,0.1326,-0.1512,-0.054,-0.1659,-0.2311,-0.1632,-0.45099999999999996,-0.3956,112.763,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-0.1952305119087192,-0.526729334980646,-0.2207144272100964,-1.0846506783678793,-0.5578792356237552,-0.6541374407351181,-1.8301,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-0.6590414624173878,-0.7949224023187289
RSC003335,Amateur,xEaglex20x,54,12,Castaways,The Soundtrack,N/A,12,9,"[9, 11, 12, 16, 17, 18, 19, 20, 21, 22, 23, 24]",262.556,0.5,0.315,1.204,1.481,33.761,0.926,0.519,2.407,1,2,9,40.0,31.0,0.558,0.709,0.277,0.291,0.165,0.74,0.57,149.19,113.37,12,5.56,107.81,0.558,0.151,0.126,0.165,0.275,29.648,0.98,1.48,0.81,2.32,1.3,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-0.949973386746442,-1.4512460613371365,-1.0905960129801646,-1.2380725220573756,-1.426879401637367,2.113677616060983,-1.121342619933026,-1.0164693223473373,-1.699640363427406,-0.8625338304829945,0.4492906110035448,-0.3447967372400011,1.5069719370558246,-0.8829462405648641,-1.4301114205864522,-1.5041924300092833,-1.2611039397895263,-0.7902171720910529,-1.874865684474192,0.7024839015034621,0.5701910515912157,0.6000252647535752,-2.56,-1.88,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-1.5475010878991127,-1.1928017359528764,-0.2584,87.3261,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,-0.29786783528479993,-0.16547976791290248,-0.0536,0.18,-0.0563,-0.2786,0.27,-0.0819,-0.4256,-0.20850000000000002,-0.23749999999999996,-2.0513,98.571,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-0.2494229944569896,-0.2773824030877226,-1.144467908331827,-1.4970649430000815,-0.9901419006204325,-0.9245686387147569,-2.8441,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-1.1696878544977982,-1.123556423509018
RSC000989,Amateur,Papa_Lane_88,48,12,Dachshund,Puppy Paradise,N/A,16,6,"[6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24]",261.396,0.542,0.646,0.771,1.354,40.03,0.722,0.354,1.91,2,2,2,78.0,20.0,0.516,0.665,0.27,0.335,0.213,1.62,0.42,143.99,117.41,6,3.12,114.29,0.516,0.149,0.122,0.213,0.311,35.544,0.81,1.19,0.65,2.18,1.07,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-0.9765390543270024,-1.2886848276362168,1.1220137344696328,-1.5102234702205721,-0.34190069233241743,-0.26878342195647253,0.05145355779749088,0.5702614079015811,-0.20469078264088997,-0.4669209184268073,2.9050405345011807,0.8866201814742903,0.16602233204852243,-1.2099633666999998,0.991241249189552,0.19599367612365803,-0.3149349725567159,-1.4503494534447576,-0.4013940083291629,-0.8478253983662475,0.27508292877136326,-0.3200134745352392,-0.67,0.1,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-0.40501005034859594,0.06378109841088804,0.1758,74.2885,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,0.20264188426652505,-0.8468281597710682,0.0365,-0.096,-0.2879,-0.0729,-0.144,0.0557,-0.1114,-0.42030000000000006,-0.1997,-1.7653,107.77000000000001,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-0.5027997671661213,-0.2332357331788116,-0.9849018664155289,-1.2297454094352824,-0.9237455908711258,-0.7723790886079532,-1.1896,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-1.0912516656560034,-0.9386122890733691
RSC004221,Amateur,ShakeWe8,53,12,Dachshund,Puppy Paradise,N/A,2,12,"[12, 13]",291.83,0.83,0.453,0.925,1.925,43.117,0.767,0.403,1.994,3,1,2,31.0,26.0,0.522,0.68,0.284,0.32,0.193,0.58,0.49,177.62,114.21,6,2.83,111.38,0.522,0.158,0.127,0.193,0.301,33.525,1.1,1.23,0.75,2.3,1.21,54,32.0,304.03695,43.66538113458931,0.8749499999999999,0.2583641809539395,0.47815,0.14959709925417392,2.05875,0.4666527927135639,42.0055,5.777993564515192,0.81985,0.18174483993254184,0.73095,0.17394326812589153,0.4133,0.1039873980219162,1.84195,0.33245268361393215,121.93799999999999,16.37964738390459,0.579,0.3583426763367859,0.528,0.12181089744699405,0.5108,0.031321087565980024,0.2959,0.021405606742159876,0.19335,0.019823630237407918,0.30685,0.021174152564910478,37.5065,6.2314451268081505,1.1835,0.257524142966298,1.111,0.19681409876755326,0.7375,0.10320521202668828,2.0495,0.47440239415389485,1.15,0.2499894734625945,-0.2795567033383875,-0.17397922511562663,-0.1681182330766236,-0.28661566391202736,0.19236781550366105,0.5785583790936158,-0.2072514814077704,0.09905046376705345,-0.45735831742170974,-0.6445804206001882,0.0027906249130654976,0.3119589527409542,0.3575865613352799,-0.5559291144297311,-0.01765569655044949,-0.2762802422466042,-0.6389368627946812,-0.32424144407667244,-0.6046314809008912,0.1211179140523206,0.5280327483312367,0.24001010590143007,-1.1,-0.55,-1.3877787807814457e-17,1.6542799355801783,-0.0004999999999999894,1.575701932139251,-0.66494187370665,-0.34873346842570135,0.116,83.535,4.999999999999449e-06,0.8675156206541456,90.49255500000001,19.13499783046967,0.13370940792113298,-0.36360364718312804,0.0241,0.072,-0.1236,-0.1197,0.108,0.0368,-0.1829,-0.1472,-0.03810000000000002,-0.9632,145.367,-5.0000000000272046e-06,0.8359092971917342,5.000000000021654e-06,0.8562367235851247,2.2204460492503132e-17,1.7923613104975296,150.08800000000002,34.41200078919837,-0.17608967922058838,-0.044502879811615256,-0.5373916488593652,-0.13719051179034938,-0.2580815440509625,-0.19616373189541952,-0.9947,-2.609024107869118e-16,0.8465009675983569,-2.498001805406602e-16,0.8228947112662169,-0.30488038871730544,-0.23838254057262717
