Tier,Name,GP,Season,Team,Franchise,Conference,RSC ID,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,TierMaxGames,GPThreshold,MAJ,EXT,ACC,NEG,RAW,tZ,DI,DT,mShPG,mShA,SvpmShA,SvpAA,SvpGA,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,pdt_z,pnt_z,pot_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
Challenger,Sinworth,32,2,Dodo Birds,The Birdcage,Lunar,,,,,183.906,0.656,0.469,0.875,1.969,33.316,0.135,0.177,0.646,1,1,2,56,34.0,158.62,25.29,4,3.12,22.17,22.17,1,1,1.31,0.51,1.72,4.94,6.48,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,-0.08995653974093804,-0.07577204472715529,0.45941462888449097,-0.18022933296609023,0.1211159521634137,-0.3130887272906384,1.5168258013064642,0.6048996473901616,1.1320849683549894,0.049019795895411084,0,0,0.049019795895411084,-0.23113717949639215,0.7701712073487386,0.27299513345769305,-0.0365031480213906,1.0761850247597233,,,,1.18,0.65,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,0.6529666943931628,0.3984654480610069,0.1679,38.1324,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,0.18750469821560342,0.05557772345079073,0.0338,0.3229,0.0189,0.1175,0.4843,0.0516,0.1796,0.4931,0.7155,-0.1821,118.60600000000001,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,0.5584482399235772,0.809426877277416,-0.10737813723994233,-0.052895564693330184,0.13413759624266397,0.27895759468378134,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,0.1932430758759323,0.4089801239568519
Challenger,Superfast Moose,56,2,Dodo Birds,The Birdcage,Lunar,RSC000107,5.0,2.0,"[2, 3, 4, 5, 6]",189.911,0.643,0.411,1.018,1.911,33.647,0.232,0.232,0.845,2,2,3,56,34.0,161.99,27.92,7,3.12,24.8,24.8,1,1,1.27,0.61,1.67,4.39,4.39,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,0.10874171421851735,-0.15017057806952822,-0.028608236963503227,-0.33305537553967607,0.17871563631009352,0.2838671127435126,0.6201663686904373,-0.03208718784385941,0.4260967359341178,0.2729983629644361,0,0,0.2729983629644361,-0.38945031613775677,0.2752025650937652,0.18747034227420514,-0.19189580600718673,0.22818822874561456,,,,0.7,0.24,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,0.38717292462661074,0.14697093804713243,-0.0326,41.416,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-0.03641184531270271,0.1806736988305556,-0.0066,0.0685,0.0614,0.0697,0.1027,-0.01,0.1065,0.193,0.1992,-0.1165,117.05699999999999,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,0.2185856594123231,0.22534007674640796,-0.06869521283226607,-0.1153461970942224,0.00744708130366583,0.03212454866489928,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,0.010728512644695735,0.04709784621537764
Challenger,Treebandana,20,2,Dodo Birds,The Birdcage,Lunar,RSC001764,1.0,2.0,[2],200.75,0.85,0.45,1.3,1.75,48.571,0.35,0.25,0.817,3,0,2,56,34.0,199.1,1.65,5,6.25,-4.6,-4.6,1,1,0.9,0.47,2.77,5.2,3.71,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,0.46739123539529304,1.0344829913051778,0.29954506938256215,-0.7572793902698021,2.7757479209175258,1.461080727356314,-0.4706152091311206,-0.24055560664772058,0.5254317636114265,-2.2307924628261864,0,0,-2.2307924628261864,-1.853846830070378,0.968158664250728,2.069015748310937,0.0369551993900765,-0.04771503502931057,,,,-1.71,-2.47,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-0.9473332944096191,-1.5153464330201838,-0.6926,-12.742,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-0.7734937342338102,-1.8825946147939132,-0.1392,-0.0143,-0.6401,-0.1705,-0.0215,-0.2127,-0.2605,-0.9641,-0.49470000000000003,-4.0846,151.071,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-1.0918275092300362,-0.5596644378545343,-2.4085993643886714,1.2559874442769332,-0.5082299287200801,-0.34977414265539886,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,-0.7321729137027492,-0.5128043650586573
Challenger,Treefrog,56,2,Dodo Birds,The Birdcage,Lunar,RSC000221,23.0,2.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",189.821,0.732,0.464,0.732,2.268,32.275,0.262,0.25,0.833,4,0,3,56,34.0,160.8,29.02,7,3.12,25.9,25.9,1,1,1.54,0.57,1.28,2.93,2.79,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,0.10576372206924979,0.3591732271205627,0.4173436921734574,0.6076152658184286,-0.060035924563760466,-0.9100445673247894,0.34284901839682086,-0.24055560664772058,0.46866889065296435,0.36667761154843875,0,0,0.36667761154843875,0.6791633561914535,0.4731900219957547,-0.4796230289569996,-0.6043926799331175,-0.42099592131303293,,,,0.84,0.13,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,0.46469610747518847,0.07949680121414175,-0.283,33.152,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-0.3160562468064077,-0.1341615857773066,-0.0569,-0.1263,-0.0456,0.0836,-0.1894,-0.0869,0.1278,-0.1452,-0.1485,1.0458,128.155,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-0.16442508610219242,-0.168010650630372,0.6166883700799614,0.33208899876445636,0.24508118101364865,0.2003529881222462,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,0.35307208854932626,0.2937377991455916
Challenger,Luuugia,44,2,Dust Devils,The Storm,Solar,,,,,250.682,0.977,0.614,0.977,2.75,35.527,0.295,0.197,0.818,2,0,3,56,34.0,211.59,39.09,5,2.84,36.25,36.25,1,1,1.77,0.52,1.88,4.96,3.31,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,2.11958127980887,1.761299432419128,1.6794717935044767,1.8776523782402967,0.5058679208894274,0.11271194182463,0.03779993307384292,0.3732680709414265,0.5218840840515225,1.2481141777706477,0,0,1.2481141777706477,1.5894638918792992,0.7206743431232411,0.5466744652448539,-0.030852505912816325,-0.21001107254397244,,,,1.77,1.62,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,0.9796715363978831,0.9934646546791976,0.4506,68.15,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,0.5032214406368112,1.1991643206488753,0.0906,-0.063,0.4077,0.1763,-0.0945,0.1384,0.2694,0.6116,0.31329999999999997,2.8376,160.727,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,0.6926492255636425,0.35442065768886,1.673274710837192,1.6452858990626062,1.3384727759870865,1.1356571173390084,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,1.9282483319592671,1.664988505325655
Challenger,Zacer,41,2,Dust Devils,The Storm,Solar,,,,,180.366,0.756,0.537,0.732,2.073,36.469,0.358,0.455,1.138,0,0,0,56,34.0,164.9,15.47,0,0.0,15.47,15.47,1,1,1.32,0.78,0.94,1.61,2.04,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,-0.20709089761212388,0.49652436559878965,1.0315793681545538,0.09380357095895972,0.6697920975243914,-0.9100445673247894,-0.5445665025427517,-2.6147792652472526,-0.6133733751177182,-0.5215719909344247,0,0,-0.5215719909344247,-0.191558895336051,-0.5662441267396899,-1.0611916090047169,-0.9773350590990277,-0.725300991653024,,,,-1.13,-3.14,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-0.6261658226083687,-1.9263252664574908,-1.4234,14.5418,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-1.5896444076028184,-0.8431581508316677,-0.2861,-0.2176,-0.2867,-0.1127,-0.3264,-0.4372,-0.1722,-0.9031,-0.9358000000000001,-0.7131,132.799,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-1.0227451453140533,-1.0586779720676422,-0.42049754060085837,0.5193199457429843,-0.24331225561867564,-0.3374354181037885,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,-0.35052371587906317,-0.49471454354902117
Challenger,adammast,46,2,Dust Devils,The Storm,Solar,RSC000387,6.0,2.0,"[2, 3, 4, 5, 6, 9]",205.217,0.957,0.587,0.826,2.565,37.31,0.3482292682926829,0.2967365853658537,1.1426439024390245,4,0,2,56,34.0,197.78,7.44,6,3.26,4.18,4.18,1,1,1.61,0.79,1.05,2.78,2.37,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,0.6151989124039342,1.646840150353939,1.452288735264893,1.3901900010659283,0.8161405397218487,-0.5176400291205225,-0.4542467216259853,-0.7818390539538984,-0.6298484528788334,-1.483061733219327,0,0,-1.483061733219327,0.9562113453138416,-0.6157409909651873,-0.8730370684010436,-0.6467724957474257,-0.5914067607034279,,,,-2.11,-2.26,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-1.1688281025484124,-1.386532171793565,-0.9945,4.389,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-1.1106528588781774,-1.229951432240998,-0.1999,-0.1774,-0.4182,-0.2104,-0.2661,-0.3054,-0.3214,-1.0059,-0.8929,-0.5269,158.66,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-1.1391659159790215,-1.0101454837027763,-0.31069936187053343,1.5619511946257805,0.1649668978721911,0.08367638973524233,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,0.2376567916489443,0.12267807329273225
Challenger,cdrch,45,2,Dust Devils,The Storm,Solar,RSC003542,1.0,2.0,[2],163.889,0.711,0.467,0.511,2.022,35.163,0.481,0.259,1.311,1,0,1,56,34.0,143.8,20.09,2,1.11,18.98,18.98,1,1,1.31,0.83,0.62,1.97,1.06,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,-0.7522950825396758,0.23899098095211413,0.4425862542000778,-0.040577949235055734,0.442525670045343,-1.8326126837412045,-1.6815676387465794,-0.3447898160496513,-1.2271219389810892,-0.2226500249981974,0,0,-0.2226500249981974,-0.23113717949639215,-0.8137284478671764,-1.6085502725790388,-0.8756235011446888,-1.1229262835639457,,,,-1.45,-0.57,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-0.8033616691194034,-0.3498840695412535,-0.6285,11.7676,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-0.7019074477491996,-0.9488474110638956,-0.1263,-0.3369,-0.3226,-0.1446,-0.5053,-0.193,-0.2209,-0.9303999999999999,-0.9191999999999999,-0.4538,126.48299999999999,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-1.0536623344108782,-1.0398985010453397,-0.26759384701990635,0.26467940717356475,-0.31408714618153866,-0.3848973371204301,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,-0.4524843736681589,-0.5642985301211018
Challenger,Lt_Col_Thorin,5,2,FA,Free Agent,N/A,RSC001459,1.0,2.0,[2],75.0,0.4,0.0,1.0,0.4,100.0,0.733,0.133,1.533,0,0,0,56,34.0,101.0,-26.0,0,0.0,-26.0,-26.0,1,1,0.0,0.8,1.25,7.52,1.36,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,-3.6935255731644956,-1.5408508551615747,-3.4868392346104966,-4.314437277758436,11.725277093061429,0.20872581819375927,-4.011033381212958,1.114489115577378,-2.01470680127975,-4.053279662551334,0,0,-4.053279662551334,-5.415892404501078,-0.6652378551906847,-0.5309379036670924,0.6924296839847064,-1.0012042554279492,,,,-6.07,-2.94,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-3.361626703122467,-1.8036450176702348,-0.4807,-32.5,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-0.5368457762605031,-2.6353191493149857,-0.0966,-0.3004,-0.896,-0.6051,-0.4505,-0.1476,-0.9244,-1.8981000000000001,-1.5225,-9.4692,144.0,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-2.1495804255829563,-1.7224078304281736,-5.583783430937049,0.9709077659640198,-1.828619960409771,-1.6795443598491138,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,-2.634370643696665,-2.4623823605188946
Challenger,TheMuffinMan,14,2,FA,Free Agent,N/A,,,,,138.929,0.357,0.286,1.214,1.429,24.983,0.405,0.333,1.214,0,0,2,56,34.0,133.49,5.44,2,3.57,1.87,1.87,1,1,1.07,0.81,1.5,3.65,3.0,186.62464,30.22170492361409,0.6692400000000001,0.17473462736389717,0.4144,0.11884689029727843,2.0374,0.3795164686808729,32.62,5.746559289406721,0.95,0.23954870764279512,0.2990891707317073,0.10817931142150597,0.22922946341463415,0.08634401365578256,0.965105756097561,0.2818743866560187,21.5944,11.742194953812229,1.0,0.0,1.0,0.0,21.5944,11.742194953812229,1.3684,0.25266380825120166,0.6656,0.20203300060468668,1.5604,0.5846258062498895,5.0692,3.5394207624035507,3.8276,2.4646319535919896,-1.5781915719365136,-1.7869383116017312,-1.0803816547393528,-1.6030924879615438,-1.3289691475172174,1.102072320063048,-0.9790303513360846,-1.2018266489099703,-0.8829970216704132,-1.679788155245733,0,0,-1.679788155245733,-1.181015999344579,-0.714734719416182,-0.10331394774965329,-0.40096956402443934,-0.3357905016178354,,,,-2.56,-2.88,0.0007999999999999841,1.805911404249943,0.00040000000000000257,1.6302542746455229,-1.418009761704555,-1.766840943034058,-1.0429,2.805,4.0000000000062204e-06,0.8954228965876031,36.673559999999995,26.24864620969369,-1.1647055307323921,-1.2902974016043636,-0.2096,-0.1007,-0.4387,-0.2552,-0.1511,-0.3203,-0.39,-1.0042,-0.8613999999999999,-2.8608,74.973,-1.2000000000000898e-05,0.8830039469145461,1.1999999999985355e-05,0.883943960950014,-3.999999999990677e-06,1.6958386938031578,119.91799999999999,24.803591900502365,-1.1372406697715267,-0.9745097404978049,-1.686950539844247,-1.8120359414190204,-1.5555804433501588,-1.4470049646725887,1.1657341758564144e-16,0.6941392111186644,1.3988810110276973e-16,0.6820810556388106,-2.2410208477391858,-2.1214560244858
