RSC ID,Tier,Name,GP,Season,# of Seasons,First Season,Seasons Played,Team,Franchise,Contract Status,Conference,ShPCT,PPG,GPG,APG,SvPG,ShPG,PAPG,GAPG,AAPG,SvAPG,ShAPG,Hat Trick,Playmaker,Savior,DI,DT,pdt,pdh,pnt,poh,pot,MAJ,EXT,ACC,NEG,RAW,z1,z2,z3,z4,AFP,tZ,mShPG,mShA,SvpmShA,SvpAA,SvpGA,TierMaxGames,GPThreshold,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,pdt_mean,pdt_std,pnt_mean,pnt_std,pot_mean,pot_std,AFP_mean,AFP_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,pdt_z,pnt_z,pot_z,AFP_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,PvShA,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC012892,Amateur,Ur.Fav.Spirit,19,25,0.0,25.0,,Chimera,Mythspire,Rostered,N/A,40.0,387.21,1.158,0.632,0.842,2.895,261.72,0.579,0.368,0.807,1.737,1,1,1,0.42,0.84,0.51,0.663,0.289,0.337,0.201,224.34,162.87,3,3.95,158.92,0.51,0.153,0.136,0.201,0.311,49.424,1.74,1.16,0.73,2.29,1.45,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,1.4837239962668591,1.2800296636073105,1.4816320637007392,1.3781278518670137,0.7553199032207272,-0.46816962712643184,1.4832150749327762,1.2890563249469182,1.5662540920764179,2.089229417014877,-0.8333604176134563,-1.1018901709927407,-0.03976469474751562,-0.2375465057992679,0.19143709221583266,0.1344618654413201,1.7391875378670973,1.2991070679938495,1.2321964484619479,0.2083464133458862,0.3346177078486904,0.6163544296098207,3.66,3.38,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,2.521528078665338,2.4096240914434817,1.3099,116.0116,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,1.5318037495289782,1.1636157117678423,0.2757,0.1849,0.3956,0.4539,0.2774,0.4212,0.6934,1.3101,1.392,3.0383,184.75,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,1.5051225117245828,1.6120502639547738,1.5689004079489919,1.2552353436801047,1.4223876764873822,1.4732409272145053,3.1352,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.6303043942693904,1.7197280525150305
RSC012755,Amateur,Jdawg118159,55,25,0.0,25.0,,Garlic Knots,Fifty-Fifty Pizzeria,Rostered,N/A,39.39,413.76,1.182,0.691,1.164,3.0,300.18,0.655,0.442,1.055,2.048,7,3,6,0.44,0.51,0.502,0.653,0.286,0.347,0.212,249.1,164.66,16,7.27,157.39,0.502,0.151,0.135,0.212,0.319,50.207,1.82,1.39,0.84,2.63,1.78,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,1.9505002556730353,1.3576072189774506,1.9849048322719285,1.5604338752159859,0.6580538339945978,0.9759221090244863,0.9491965474389563,0.28356876075825943,0.3771843064021856,1.9939246761671499,-0.7743841419054269,1.2876373712458022,-0.283654822532288,-0.4157063851487188,0.5917146486671176,0.4476388684945196,1.8653131615058094,1.5583648776585657,-0.20672611497374802,0.9404525602418479,0.9097189112281967,1.5445548503912772,2.37,2.28,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,1.6327927722505056,1.6254269019204548,1.2461,132.2076,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,1.4571957037087258,1.8382397969593276,0.2623,0.4634,0.625,0.2939,0.695,0.4007,0.449,1.6446,1.5447,3.4237,187.58999999999997,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,1.8894177189763957,1.7888916079256993,1.7679102560360518,1.323430711471426,1.630215900980515,1.6162901607486457,2.1451,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.86851179246697,1.8867107742512266
RSC008614,Amateur,nate_dog157,31,25,0.0,25.0,,Electric Eels,Tyrants of the Sea,Rostered,N/A,39.58,355.87,1.226,0.484,0.581,3.097,261.42,0.538,0.312,0.989,1.581,5,0,0,0.74,0.61,0.516,0.67,0.293,0.33,0.191,210.89,144.98,5,4.03,140.95,0.516,0.154,0.139,0.191,0.304,42.849,1.87,1.04,0.56,1.86,1.08,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,0.9327346188736559,1.4998327371560407,0.21918511881029681,1.728849915833608,0.6883498227699493,-1.638691189658698,1.7713040173965464,2.049965832981579,2.1627006726718534,0.9698658921562798,0.11025999371501122,0.5635381160220014,0.14315290109106368,0.0,-0.1724515954671546,-0.13956801223022947,0.680086675255948,1.7204010086990136,1.9829386554718755,-0.9230903591296906,-0.39271616701362666,-0.4243551330845392,3.13,3.02,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,2.156388766727461,2.152977738508673,0.8038,78.932,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,0.93996782492663,-0.380888562699074,0.1692,-0.1273,-0.1295,0.3881,-0.191,0.2585,0.593,0.3005,0.6605,2.4005,193.14999999999998,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,0.3452288159355534,0.764902633864846,1.2395582151365194,1.4569399526403526,1.031382208401734,1.12795340812923,3.4023,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.1821439220290735,1.3166706694453236
RSC008012,Amateur,mushxie,55,25,1.0,22.0,[22],HR Violation,Shell Corp.,Rostered,N/A,43.64,401.0,1.309,0.455,1.127,3.0,307.47,0.782,0.461,0.982,2.139,11,0,5,0.6,0.71,0.505,0.663,0.297,0.337,0.199,247.89,153.11,16,7.27,145.84,0.505,0.158,0.138,0.199,0.313,45.648,1.69,1.36,0.83,2.44,1.44,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,1.7261663547305568,1.7681217828111082,-0.02818624201283013,1.5604338752159859,1.3357272671274667,0.8099861020754681,0.05682348175849525,0.025403034817927883,0.029257134388182855,1.2744673187872513,-0.30257393624119333,-0.1605611392017994,-0.19219602461299837,0.2375465057992679,0.1186593546792352,0.21275611620461998,1.130949536769045,1.1370709369534016,-0.01904056322126716,0.8738974559785786,0.5883388269867078,0.5882271441315947,1.3,1.3,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,0.895624727394792,0.9267784967090313,0.7474,121.0472,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,0.8740133768974413,1.3733673197815643,0.1573,0.1765,0.4669,0.1612,0.2647,0.2404,0.2463,0.9619,0.7514,2.268,204.54000000000002,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,1.1050878595120828,0.8701736107276955,1.171138897877735,1.7304417974090713,1.3730632150296043,1.2521018268490003,1.2004,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.5737699574285353,1.4615902914866716
RSC008083,Amateur,Rocketgirl_32,56,25,2.0,23.0,"[23, 24]",Legionarii,The Sovereign,Rostered,N/A,47.06,390.05,1.286,0.536,1.286,2.732,297.33,0.75,0.44,0.946,2.0,9,0,9,0.54,0.86,0.494,0.652,0.295,0.348,0.211,256.02,134.03,18,8.04,125.99,0.494,0.158,0.137,0.211,0.322,40.569,1.45,1.25,1.03,2.92,1.71,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,1.5336541121506087,1.693776625581391,0.662747558906939,1.0951194537157523,1.8810550650837992,1.5230624562617914,0.2816733880716825,0.3107441003309259,0.5607063312007812,0.03799731497850549,-0.4795027633652808,-1.2467100220375011,-0.5275449503170604,0.11877325289963395,0.5553257798988189,0.5650802446394694,0.3128243228980144,0.35929750795925314,0.6691397932045011,2.2049995412439642,1.400246408228364,1.3476638520436954,0.6,0.35,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,0.41336525879759634,0.24951728757550842,0.8594,129.7697,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,1.0049867488702986,1.7366921273317448,0.1809,0.4043,0.5905,0.0744,0.6064,0.2764,0.1137,1.2501,0.9965,0.6721,202.98,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,1.4361906359843473,1.154023076394191,0.3470604947585371,1.6929823700307387,1.2448421914719352,1.1543774025107911,0.9078,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.4268062979429483,1.3475156477228336
RSC008136,Amateur,GeneralLeigh91,56,25,2.0,23.0,"[23, 24]",Chimera,Mythspire,Rostered,N/A,41.14,398.54,1.286,0.393,1.018,3.125,299.73,0.726,0.423,0.923,2.012,8,1,6,0.79,0.75,0.5,0.659,0.296,0.341,0.204,237.53,161.01,15,6.7,154.31,0.5,0.159,0.137,0.204,0.316,48.762,1.84,1.29,0.79,2.41,1.4,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,1.6829170290002675,1.693776625581391,-0.5570491513588262,1.7774648553933339,0.9370958358728381,0.3211475951175486,0.45031081780657295,0.5417344866985909,0.5148258250011323,1.8020693808658443,0.25770068298508436,-0.45020084129132004,-0.34462735447848114,0.17815987934945093,0.3006036985207278,0.3301974923495698,1.632552591700013,1.6231793300747448,0.4188923908678581,0.6076770389255021,0.5375946031591047,0.47571800221869076,2.32,2.34,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,1.5983456673507057,1.6682012940762563,1.069,121.9049,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,1.2500940592766454,1.4090937385188287,0.225,0.1427,0.4791,0.2877,0.2141,0.3438,0.4395,1.1345,0.9974000000000001,3.2557,200.99,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,1.303381888724827,1.155065363293823,1.6811597254739705,1.6451975876699183,1.5421081842251323,1.4577756109924527,2.196,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,1.7675249798210173,1.701675242783247
RSC013085,Amateur,Jayboaah,52,25,0.0,25.0,,Garlic Knots,Fifty-Fifty Pizzeria,Rostered,N/A,38.69,321.29,1.019,0.615,0.808,2.635,300.13,0.647,0.429,1.064,2.083,1,1,4,1.44,0.73,0.454,0.6,0.288,0.4,0.258,205.06,116.23,6,2.88,113.35,0.454,0.146,0.142,0.258,0.359,40.693,1.62,1.44,0.56,1.88,1.25,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,0.32478271490885147,0.8307263220885827,1.3366212659768368,0.9267034130981294,0.5464370332433014,-0.6206513632417459,1.005409024017253,0.4602084679805915,0.24336616331987593,-0.749356883920363,2.1744296434960337,-0.30538099024655974,-1.7469955892409208,-0.2969331322490849,2.265602612008858,2.013523883760515,0.33279824030695393,0.9102203534967754,-0.5195353678945518,-0.9230903591296906,-0.3588866844618913,0.05380872004530176,-0.51,-0.29,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,-0.3513604699779569,-0.20674289541970697,-0.2874,63.476,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,-0.3360870277232066,-1.0246888751663246,-0.0605,0.0161,-0.3484,-0.0632,0.0242,-0.0924,-0.0966,-0.45599999999999996,-0.1648,1.243,166.94,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,-0.5238872506892491,-0.1908744530978572,0.641857387007895,0.8275735477774829,0.33144812087567266,0.3756224688426457,0.8852,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,0.3798973633337258,0.43846765650544345
RSC012722,Amateur,Savant Cyclops,51,25,0.0,25.0,,Electric Eels,Tyrants of the Sea,Rostered,N/A,40.18,300.16,0.882,0.667,0.49,2.196,271.56,0.588,0.34,1.0,1.614,1,3,1,0.63,0.75,0.473,0.63,0.304,0.37,0.223,171.44,128.72,5,2.45,126.27,0.473,0.157,0.147,0.223,0.337,42.553,1.31,1.03,0.48,1.44,0.83,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,-0.04670437967692992,0.3878877768507002,1.780183706073479,0.164490610715284,0.7840213662710604,-2.046804071614392,1.4199760387821923,1.6695110789642482,2.0365292806228186,0.05543870546044252,-0.21410952267914943,-0.45020084129132004,-1.167756535752088,0.6532528909479868,0.9919922051184037,1.1522871253642184,0.6324070014410583,-0.09440365895399987,2.0455005060560363,-1.4555311932358452,-1.1031353006000761,-1.1275372700401882,2.09,1.72,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,1.4398889848116272,1.2261992417996415,-0.0083,60.6096,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,-0.009706062387274223,-1.1440851753511154,-0.0017,-0.3383,-0.389,0.2592,-0.5074,-0.0027,0.396,-0.4698000000000001,-0.11409999999999998,0.538,150.34,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,-0.5397415821095035,-0.1321589577519114,0.27781498197059024,0.428966820546516,0.06848205125452965,0.16824006796892285,2.3143,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,0.0784923765400969,0.19638822075777532
RSC008003,Amateur,Bronzetpole,26,25,0.0,25.0,,Dik-diks,Safari,Rostered,N/A,37.7,322.96,0.885,0.654,0.731,2.346,310.12,0.808,0.513,0.897,2.231,1,2,1,0.88,0.77,0.5,0.656,0.28,0.344,0.22,186.33,136.63,4,3.85,132.78,0.5,0.156,0.124,0.22,0.322,42.755,1.46,1.42,0.51,1.42,0.9,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,0.3541430295306328,0.39758497127196774,1.6692930960493186,0.4249277869281014,0.38857898646646916,-0.9659776479734875,-0.1258670671209694,-0.6811557940713998,-0.32249341314245855,0.46095103416547717,0.5230939236712158,-0.5950206923360803,-0.34462735447848114,-0.7720261438476174,0.8828255988135074,0.5650802446394694,0.6649451572201394,0.3917047341673427,-0.3944116667262303,-1.2558658804460372,-1.136964783151812,-0.9306462716926065,0.14,-0.22,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,0.09645189371943916,-0.15683943790460528,-0.6763,67.7178,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,-0.790868673796815,-0.8480020114613828,-0.1424,-0.2792,-0.2883,0.0174,-0.4188,-0.2175,0.0265,-0.6925,-0.6098,1.0566,149.66000000000003,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,-0.7955937275653442,-0.7062274201382098,0.545605607860443,0.41263835220211553,0.049822924906602256,-0.0029958153760160644,0.2231,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,0.05710576290366776,-0.0034970435908483095
RSC008193,Amateur,RL Camaro,56,25,2.0,23.0,"[23, 24]",Legionarii,The Sovereign,Rostered,N/A,32.89,334.89,0.875,0.518,0.821,2.661,297.33,0.75,0.44,0.946,2.0,2,1,2,0.46,0.86,0.483,0.65,0.309,0.35,0.208,186.81,148.08,5,2.23,145.85,0.483,0.167,0.142,0.208,0.326,47.547,1.79,1.25,0.66,1.87,1.09,56,34.0,302.81652173913045,56.87949947106653,0.762,0.30936783049543876,0.458304347826087,0.11723264933944907,2.1012608695652175,0.5759546397378642,35.26304347826087,6.2714573011256265,0.946391304347826,0.22297752416910763,0.7900869565217391,0.14231715958746324,0.46286956521739137,0.07359613647704492,2.1466521739130435,0.2615489887531329,125.38,16.05376591333012,0.7026086956521739,0.339119413016396,0.6878260869565217,0.13810261408029276,0.5113043478260869,0.03280165569907704,0.293,0.016838807990634443,0.1957391304347826,0.027480931225627475,0.3075652173913043,0.025544659799433114,38.62695652173913,6.208096161672209,1.3391304347826087,0.30857315389441725,1.3569565217391304,0.1598418190419032,0.698695652173913,0.15025143616999556,2.092173913043478,0.5912002930997792,1.2308695652173913,0.3555266649439476,0.5638846782958186,0.3652609898677427,0.5092067142581014,0.9718458569750182,-0.378387887267437,-0.5623495229623614,0.2816733880716825,0.3107441003309259,0.5607063312007812,1.275090225590177,-0.7154078661973977,-1.2467100220375011,-0.8628938760211226,0.9501860231970716,0.4461591735939227,0.7216687461660691,1.4368404170882185,1.4611431990342971,0.6691397932045011,-0.2575393164969983,-0.37580142573775877,-0.39622784760631324,1.84,1.59,9.654113257610057e-18,1.4515007907178505,-1.9308226515220113e-17,1.4027084191274068,1.2676534603126288,1.1335213921287384,0.3336,96.261,-9.654113257610057e-18,0.8551356532472175,88.07616086956521,24.007444079620935,0.3901135436620102,0.34092921775802865,0.0702,-0.1189,0.1159,0.2282,-0.1783,0.1073,0.3486,0.2954,0.27760000000000007,2.898,147.0,4.347826086946389e-06,0.8704245946549519,1.739130434782417e-05,0.863485860100144,-1.3043478260877782e-05,1.9365875794820004,132.47565217391303,41.64505731078986,0.33936960649763337,0.3214674628991136,1.4964533874855395,0.3487652260313696,0.6555404751778626,0.613291279527468,2.0572,1.1584935909132068e-16,0.8724675474636227,1.2550347234893073e-16,0.8566708701762187,0.7513637350565124,0.7159007045509937
