RSC ID,Tier,Name,GP,Season,Team,Franchise,Conference,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,MAJ,EXT,ACC,NEG,RAW,tZ,DI,DT,mShPG,mShA,SvpmShA,SvpAA,SvpGA,TierMaxGames,GPThreshold,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,pdt_z,pnt_z,pot_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC002869,Amateur,EXACTLYzer0,33,8,Barbarians,The Sovereign,Lunar,6,8,"[8, 9, 10, 11, 12, 13]",236.576,0.606,0.515,0.636,1.606,37.733,0.747,0.434,1.727,0,0,0,138.66,97.92,0,0.0,97.92,97.92,1,1,1.0,0.98,0.65,1.47,0.85,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-1.2534541122576979,-0.8270101744306824,0.18047162583047757,-0.8925749642026123,-0.31242995957489184,-1.4661585834951731,0.22889943506502186,0.16234711261143348,0.9682754926910642,-1.5024454578410023,0,0,-1.5024454578410023,-0.8289571777308533,1.8110539798880965,-0.5557641274190411,-1.0777829650387016,-1.070611660851194,,,,-0.53,-1.34,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,-0.3174229576293252,-0.8315182014265946,-0.962,63.648,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,-1.065203399926513,-1.072569903700293,-0.1917,-0.3212,-0.3647,-0.0571,-0.4818,-0.2929,-0.0873,-0.9347,-0.862,-2.3314,114.393,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,-1.020316027209137,-0.9328642519070776,-1.2807954047144612,-0.8313437981884507,-1.0150565675273002,-0.9798203652421439,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-1.112912814449433,-1.0734386514958614
RSC002140,Amateur,POTEAT_84,54,8,Barbarians,The Sovereign,Lunar,1,8,[8],289.204,0.907,0.463,0.648,2.278,39.816,0.691,0.383,1.71,4,1,0,173.57,115.63,5,2.31,113.32,113.32,1,1,1.37,1.02,0.64,1.69,0.94,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-0.37211937987762483,0.1227750102866226,-0.11702050666241338,0.1506284934845985,0.038814221953958464,-1.3993462936143806,0.529971432218161,0.6416983240588764,1.0212501905065205,-0.6140781915845049,0,0,-0.6140781915845049,0.1518148319681507,1.5409306744132616,-0.6312382681796518,-0.6886877722897723,-0.7833743859886785,,,,0.41,0.03,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,0.24458960776232253,0.018039716912305773,-0.3565,72.5248,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,-0.39474322284438207,-0.7205378893245645,-0.0711,-0.235,-0.245,0.044,-0.3525,-0.1086,0.0673,-0.5070999999999999,-0.39379999999999993,-0.4623,153.296,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,-0.5535490075936164,-0.4261775095472723,-0.2539725982669192,0.12518478915383213,-0.20116985837642876,-0.18635790330758997,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-0.22056358278976768,-0.2041637258403569
RSC002767,Amateur,Rvbb3rDvck,45,8,Barbarians,The Sovereign,Lunar,4,8,"[8, 9, 10, 12]",291.111,0.756,0.711,0.844,2.022,37.389,0.652,0.356,1.696,1,1,2,179.48,111.63,4,2.22,109.41,109.41,1,1,1.27,1.04,0.81,2.37,1.29,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-0.3401838069003355,-0.3536952983257131,1.301788125226759,-0.24678234753910122,-0.3704366799041871,-0.3080788922280998,0.739646573092668,0.89547249482517,1.0648764122368963,-0.8396311793158623,0,0,-0.8396311793158623,-0.11325868416671542,1.405869021675844,0.6518221247507279,0.5139700962069191,0.33365946069888225,,,,0.23,0.06,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,0.13697018034690064,0.036643174978121106,0.2896,88.6221,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,0.32067266553342927,-0.08215863722804116,0.0577,0.1001,-0.0279,0.0247,0.1501,0.0882,0.0377,0.1546,0.276,-0.9529,133.209,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,0.16876094769073774,0.29868105523828425,-0.5234922969685211,-0.36870487832539645,-0.23313375877371584,-0.13889948537427405,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-0.2556089541414183,-0.15217082800354179
RSC002568,Amateur,otter,36,8,Barbarians,The Sovereign,Lunar,2,8,"[8, 9]",426.917,1.5,0.583,0.889,3.167,47.363,0.546,0.324,1.574,6,1,3,261.49,165.43,10,6.94,158.49,158.49,1,1,1.67,1.03,0.86,2.74,1.63,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,1.934091192446175,1.993946487154934,0.5694997990904117,1.5306997343833042,1.3114209612713972,-0.0575328051751269,1.3095328534182522,1.196241882400036,1.445047773030169,1.991606835480821,0,0,1.991606835480821,0.9470353803727479,1.4733998480445527,1.0291928285537801,1.1683574658301188,1.4187780546239404,,,,3.44,3.19,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,2.056183302588591,1.9776039665115208,1.5487,136.3014,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,1.7148533574642484,1.8086849125899878,0.3087,0.4256,0.615,0.3701,0.6385,0.4716,0.5655,1.7193999999999998,1.6756000000000002,2.9386,229.033,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,1.876892454459602,1.8133302748170619,1.614371354676982,1.98737036917446,1.8502029234042379,1.828234567952106,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,2.0285712231825923,2.002915757681393
RSC000685,Amateur,DaTurquoisOrang,56,8,Capybaras,The Jungle,Solar,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]",328.125,0.839,0.464,1.125,2.196,38.206,0.78,0.405,2.137,2,0,7,193.18,134.94,9,4.02,130.92,130.92,1,1,1.36,1.36,0.83,2.78,1.44,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,0.2796710951350074,-0.09179440021429694,-0.11129950411447317,0.023332833469195034,-0.23267071912210838,1.2564422291471298,0.05148200817120771,0.4349193701011557,-0.30934957226993504,0.4011986841372065,0,0,0.4011986841372065,0.1253074803546641,-0.7551174221228353,0.8027704062719483,1.2391020463299234,0.8123882521364079,,,,0.09,0.84,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,0.05326618124601692,0.5203330846893198,0.9013,108.6636,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,0.9979980004981517,0.7126378678313458,0.1796,0.2437,0.2423,0.0096,0.3656,0.2744,0.0146,0.6752,0.6545999999999998,0.5265,144.06599999999997,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,0.7370465192806348,0.7084025431866444,0.28924199218588137,-0.10175809085977322,0.2806174529088882,0.316146182689751,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,0.3076703006426907,0.34635280512686983
RSC002229,Amateur,FatNutFreddy,22,8,Capybaras,The Jungle,Solar,8,8,"[8, 9, 10, 11, 12, 13, 14, 16]",221.227,0.409,0.455,0.773,1.0,40.9,0.939,0.485,2.242,0,0,1,117.71,103.52,1,1.14,102.38,102.38,1,1,0.59,1.3,0.59,1.59,0.82,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-1.510496120452988,-1.4486303783818752,-0.16278852704593513,-1.833320939438401,0.22160284066604263,-0.7033849406894565,-0.8033474123171683,-0.31700409883600944,-0.6365462352477519,-1.2451650677433417,0,0,-1.2451650677433417,-1.9157585938838035,-0.34993246391058264,-1.008608971982705,-0.8655492235392854,-1.1663574191386992,,,,-1.88,-1.56,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,-1.1245686632449894,-0.967943560575907,-0.9137,60.4042,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,-1.0117216054540654,-1.2012110185425773,-0.1821,-0.3499,-0.4084,-0.2024,-0.5249,-0.2782,-0.3093,-1.1428,-1.1124,-3.1609,91.8,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,-1.2474774322184676,-1.2038475075390624,-1.7364957513776873,-1.386849809905393,-1.4352613294662273,-1.3975639149122114,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-1.5736272999423095,-1.5310960839560583
RSC000654,Amateur,Rocci,56,8,Capybaras,The Jungle,Solar,11,6,"[6, 7, 8, 10, 11, 12, 13, 16, 17, 22, 24]",290.946,0.804,0.375,1.089,1.768,45.475,0.786,0.435,2.161,2,2,6,178.9,112.05,10,4.46,107.59,107.59,1,1,0.96,1.38,0.79,2.5,1.39,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-0.3429469791820616,-0.20223453797212282,-0.6204687308811522,-0.6410884163673026,0.993058496208283,1.0560053595047514,0.019224294190514225,0.1529480692497189,-0.384137380950579,-0.9446200380552662,0,0,-0.9446200380552662,-0.9349865841847999,-0.8901790748602513,0.5008738432295067,0.7438899828312863,0.6528119883238991,,,,-1.33,-0.79,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,-0.7957315239200893,-0.4904548035533134,0.1637,84.9961,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,0.18126566917564188,-0.22595686227832887,0.0326,0.1958,-0.0768,-0.1432,0.2938,0.0498,-0.2188,0.008400000000000019,0.12480000000000002,-1.8796,143.555,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,0.009169417597685628,0.13505218841897082,-1.0325911652660638,-0.1143223174780771,-0.3215026338058318,-0.23495703858837472,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-0.3524970060667385,-0.2574063324346566
RSC002574,Amateur,Twrtle,50,8,Capybaras,The Jungle,Solar,3,8,"[8, 9, 11]",317.44,0.76,0.5,1.14,2.32,32.759,0.887,0.487,2.153,5,0,6,189.18,128.26,11,5.5,122.76,122.76,1,1,1.56,1.27,0.9,2.34,1.29,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,0.10073475676985802,-0.34107356829624724,0.09465658761137433,0.2158287095900489,-1.1511666657316346,1.33995759149812,-0.5237805578178255,-0.33580218555943864,-0.3592081113903643,-0.0695205946064952,0,0,-0.0695205946064952,0.6554545126243957,-0.14733998480445631,1.3310893915962227,0.46091166083206464,0.33365946069888225,,,,-0.43,-0.41,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,-0.2576343868429797,-0.2548110013863191,0.1245,110.484,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,0.13786015482119174,0.7848304461218979,0.0248,0.1001,0.2668,-0.0464,0.1501,0.0379,-0.0708,0.3453,0.1172,0.5859,131.959,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,0.3769285591048625,0.126827457018,0.32187442207351924,-0.39943928786136673,0.051516803319908155,-0.015817299525247408,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,0.05648326645860058,-0.01732858519274765
RSC002553,Amateur,Oreo Ice Cream,11,8,Cookiecutters,Shark Attack,Lunar,1,8,[8],161.091,0.273,0.364,0.545,1.091,25.023,0.485,0.273,1.545,0,0,1,87.48,73.61,1,2.27,71.34,71.34,1,1,0.82,1.06,0.51,2.0,1.12,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,-2.517563564900964,-1.8777691993837138,-0.6833997589084946,-1.6920538045432578,-2.4556433763927865,-1.9728184484245177,1.637486278888636,1.675593093847479,1.5354163751859473,-3.0357442849252694,0,0,-3.0357442849252694,-1.306089506773612,1.2708073689384265,-1.612402098067589,-0.14041727341628066,-0.2088998362636469,,,,-1.5,-1.36,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,-0.8973720942568766,-0.8439205068038048,-0.4711,36.3834,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,-0.5216379153193816,-2.1538167560737262,-0.0939,-0.0627,-0.7323,-0.1615,-0.094,-0.1435,-0.2468,-1.0504,-0.48429999999999995,-4.3418,63.233000000000004,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,-1.1466138386439257,-0.5241167453088322,-2.3852438398341116,-2.089241711676644,-1.8580950881783633,-1.5342322358873115,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,-2.0372242299133076,-1.6808225678850381
RSC002301,Amateur,RaymondPart1,56,8,Cookiecutters,Shark Attack,Lunar,6,8,"[8, 9, 10, 11, 12, 13]",383.286,1.0,0.625,1.125,2.804,35.663,0.613,0.369,1.72,4,2,5,223.42,159.87,11,4.91,154.96,154.96,1,1,1.8,1.11,1.01,3.05,1.84,60,36.0,311.42472727272724,59.713974800330845,0.868090909090909,0.31691376623187695,0.48345454545454547,0.17479453847823223,2.180969696969697,0.6441696440403184,39.58581818181818,5.93034734677566,0.8993333333333333,0.17960767429780575,0.7895757575757576,0.18600202120928522,0.45127272727272727,0.1063938064243147,2.037727272727273,0.3209079183277573,123.96515151515152,17.335172720730984,1.0,0.0,1.0,0.0,123.96515151515152,17.335172720730984,1.3127272727272727,0.37725383304275983,1.248181818181818,0.1480805217072485,0.7236363636363636,0.13249571176594213,2.0793939393939396,0.5654143358742519,1.1854545454545453,0.31332980736249494,1.2034247086642542,0.4162302334717034,0.8097819061039008,0.9671835809004805,-0.6614820266726922,1.2564422291471298,0.9493217139671757,0.7732849311228805,0.9900886035562524,1.787974598475273,0,0,1.787974598475273,1.291630951348074,0.9331532370948825,2.1613049399629385,1.7166279647036096,2.0889983626364774,,,,2.78,2.56,0.0009090909090908729,1.672560469079451,0.0009090909090909149,1.6126034145837815,1.6615787353987108,1.5869313471293989,1.6557,156.5096,-3.0303030302993323e-06,0.9031110581916436,90.69380303030303,25.21588843486737,1.8333326951154258,2.610092328878245,0.33,0.6267,0.8874,0.2991,0.94,0.5042,0.4569,2.1432,1.9011,3.0796,163.70299999999997,1.3457248783335231e-17,0.9160887167054291,6.06060606061885e-06,0.9240423339664267,4.0371746350005693e-17,1.8202751129636972,148.20460606060607,40.67102699783608,2.339511404209503,2.057366713095866,1.6918321730971324,0.3810671891865063,1.3812603257999643,1.3661705948888005,-9.420074148334662e-17,0.9120719559954541,-9.083642928751281e-17,0.9127865517761463,1.5144203444918207,1.4967032459345908
